"county","state","median_income","cum_county","cum_median_income"
"Minidoka","Idaho","70,060","32.64%","42.62%"
"Sheridan","Kansas","70,000","32.67%","42.65%"
"Brown","Ohio","69,990","32.7%","42.68%"
"Walsh","North Dakota","69,976","32.74%","42.72%"
"Lake","Florida","69,956","32.77%","42.75%"
"Emery","Utah","69,956","32.8%","42.79%"
"Jackson","Minnesota","69,955","32.83%","42.82%"
"Kittitas","Washington","69,928","32.86%","42.85%"
"Boone","Missouri","69,913","32.89%","42.89%"
"Henry","Illinois","69,912","32.92%","42.92%"
"Lamoille","Vermont","69,897","32.95%","42.95%"
"Sanborn","South Dakota","69,870","32.98%","42.99%"
"Uintah","Utah","69,861","33.01%","43.02%"
"Autauga","Alabama","69,841","33.04%","43.05%"
"Norman","Minnesota","69,833","33.08%","43.09%"
"Charlottesville city","Virginia","69,829","33.11%","43.12%"
"Cumberland","Illinois","69,826","33.14%","43.15%"
"Sullivan","New York","69,826","33.17%","43.19%"
"Ringgold","Iowa","69,821","33.2%","43.22%"
"Marshall","Illinois","69,818","33.23%","43.25%"
"Oglethorpe","Georgia","69,784","33.26%","43.29%"
"Coconino","Arizona","69,748","33.29%","43.32%"
"White","Georgia","69,747","33.32%","43.35%"
"Wells","Indiana","69,741","33.35%","43.39%"
"Webster","Missouri","69,731","33.38%","43.42%"
"Bandera","Texas","69,703","33.42%","43.45%"
"Hancock","Ohio","69,699","33.45%","43.49%"
"Lewis","Washington","69,690","33.48%","43.52%"
"Pine","Minnesota","69,666","33.51%","43.55%"
"Butler","Iowa","69,651","33.54%","43.58%"
"Wilkin","Minnesota","69,635","33.57%","43.62%"
"Hancock","Maine","69,630","33.6%","43.65%"
"Oneida","Wisconsin","69,621","33.63%","43.68%"
"Kittson","Minnesota","69,615","33.66%","43.72%"
"Bayfield","Wisconsin","69,609","33.69%","43.75%"
"Richland","Montana","69,578","33.72%","43.78%"
"Chatham","Georgia","69,575","33.76%","43.82%"
"Vernon","Wisconsin","69,556","33.79%","43.85%"
"Muscatine","Iowa","69,512","33.82%","43.88%"
"Northumberland","Virginia","69,500","33.85%","43.92%"
"Lincoln","Nevada","69,496","33.88%","43.95%"
"Tulare","California","69,489","33.91%","43.98%"
"St. Louis","Minnesota","69,455","33.94%","44.02%"
"Sweet Grass","Montana","69,426","33.97%","44.05%"
"Atascosa","Texas","69,413","34%","44.08%"
"St. Clair","Michigan","69,349","34.03%","44.12%"
"Bosque","Texas","69,339","34.06%","44.15%"
"Jerome","Idaho","69,338","34.1%","44.18%"
"Lane","Oregon","69,311","34.13%","44.22%"
"Major","Oklahoma","69,229","34.16%","44.25%"
"Clinton","New York","69,208","34.19%","44.28%"
"Chippewa","Minnesota","69,192","34.22%","44.31%"
"Logan","Ohio","69,183","34.25%","44.35%"
"Dixon","Nebraska","69,156","34.28%","44.38%"
"Osceola","Iowa","69,138","34.31%","44.41%"
"Haskell","Kansas","69,138","34.34%","44.45%"
"Polk","Minnesota","69,136","34.37%","44.48%"
"Koochiching","Minnesota","69,115","34.4%","44.51%"
"Asotin","Washington","69,107","34.44%","44.55%"
"Lamar","Mississippi","69,106","34.47%","44.58%"
"DeKalb","Missouri","69,093","34.5%","44.61%"
"Renville","Minnesota","69,086","34.53%","44.64%"
"Grant","Nebraska","69,063","34.56%","44.68%"
"Garrett","Maryland","69,031","34.59%","44.71%"
"St. Lucie","Florida","69,027","34.62%","44.74%"
"DeKalb","Illinois","69,022","34.65%","44.78%"
"Mahaska","Iowa","69,019","34.68%","44.81%"
"Freeborn","Minnesota","69,012","34.71%","44.84%"
"Harnett","North Carolina","69,012","34.74%","44.88%"
"Story","Iowa","69,006","34.78%","44.91%"
"Lake","Indiana","68,985","34.81%","44.94%"
"Palo Alto","Iowa","68,963","34.84%","44.97%"
"Umatilla","Oregon","68,958","34.87%","45.01%"
"Hamilton","New York","68,950","34.9%","45.04%"
"Wyoming","New York","68,913","34.93%","45.07%"
"Cape Girardeau","Missouri","68,912","34.96%","45.11%"
"Coryell","Texas","68,904","34.99%","45.14%"
"Randolph","Illinois","68,870","35.02%","45.17%"
"Herkimer","New York","68,858","35.05%","45.2%"
"Allen","Indiana","68,839","35.09%","45.24%"
"Banks","Georgia","68,830","35.12%","45.27%"
"Adams","Iowa","68,828","35.15%","45.3%"
"Oneida","New York","68,819","35.18%","45.34%"
"Box Butte","Nebraska","68,778","35.21%","45.37%"
"Douglas","Kansas","68,756","35.24%","45.4%"
"Kings","California","68,750","35.27%","45.43%"
"Lea","New Mexico","68,750","35.3%","45.47%"
"Mason","Texas","68,750","35.33%","45.5%"
"Buffalo","Wisconsin","68,722","35.36%","45.53%"
"Osceola","Florida","68,711","35.39%","45.57%"
"Clatsop","Oregon","68,705","35.43%","45.6%"
"Mitchell","Iowa","68,704","35.46%","45.63%"
"Miami-Dade","Florida","68,694","35.49%","45.66%"
"Brown","Minnesota","68,690","35.52%","45.7%"
"Morrison","Minnesota","68,640","35.55%","45.73%"
"Garfield","Nebraska","68,611","35.58%","45.76%"
"Manitowoc","Wisconsin","68,611","35.61%","45.79%"
"Newton","Indiana","68,596","35.64%","45.83%"
"Butte","California","68,574","35.67%","45.86%"
"Daviess","Indiana","68,561","35.7%","45.89%"
"Colorado","Texas","68,554","35.73%","45.93%"
"Glynn","Georgia","68,546","35.77%","45.96%"
"Carroll","Iowa","68,528","35.8%","45.99%"
"Nelson","Virginia","68,525","35.83%","46.02%"
"Macoupin","Illinois","68,518","35.86%","46.06%"
"Caldwell","Texas","68,503","35.89%","46.09%"
"Jennings","Indiana","68,476","35.92%","46.12%"
"Southampton","Virginia","68,465","35.95%","46.15%"
"Armstrong","Texas","68,462","35.98%","46.19%"
"Oswego","New York","68,461","36.01%","46.22%"
"Lee","Illinois","68,459","36.04%","46.25%"
"Lamar","Georgia","68,457","36.07%","46.29%"
"Shelby","Illinois","68,457","36.11%","46.32%"
"Callahan","Texas","68,455","36.14%","46.35%"
"Grand Forks","North Dakota","68,450","36.17%","46.38%"
"Duval","Florida","68,447","36.2%","46.42%"
"Waldo","Maine","68,441","36.23%","46.45%"
"Snyder","Pennsylvania","68,435","36.26%","46.48%"
"Erie","Ohio","68,431","36.29%","46.51%"
"Wabash","Indiana","68,414","36.32%","46.55%"
"Fannin","Texas","68,377","36.35%","46.58%"
"Peach","Georgia","68,365","36.38%","46.61%"
"Franklin","Virginia","68,348","36.41%","46.64%"
"Lewis","New York","68,329","36.45%","46.68%"
"Kankakee","Illinois","68,325","36.48%","46.71%"
"Hansford","Texas","68,299","36.51%","46.74%"
"Van Zandt","Texas","68,274","36.54%","46.78%"
"Jones","Georgia","68,259","36.57%","46.81%"
"Cottonwood","Minnesota","68,239","36.6%","46.84%"
"O'Brien","Iowa","68,216","36.63%","46.87%"
"Monroe","Wisconsin","68,213","36.66%","46.91%"
"Frontier","Nebraska","68,207","36.69%","46.94%"
"Paulding","Ohio","68,167","36.72%","46.97%"
"Parmer","Texas","68,164","36.75%","47%"
"Clinton","Ohio","68,125","36.79%","47.04%"
"Webster","Iowa","68,054","36.82%","47.07%"
"Nelson","North Dakota","68,051","36.85%","47.1%"
"Benson","North Dakota","68,049","36.88%","47.13%"
"Mineral","West Virginia","68,049","36.91%","47.17%"
"Marshall","Indiana","68,041","36.94%","47.2%"
"Windham","Vermont","68,021","36.97%","47.23%"
"Yakima","Washington","68,015","37%","47.26%"
"Cass","Michigan","68,011","37.03%","47.3%"
"Powder River","Montana","68,009","37.06%","47.33%"
"Clallam","Washington","67,999","37.09%","47.36%"
"Dickinson","Kansas","67,982","37.13%","47.39%"
"Wheeler","Texas","67,964","37.16%","47.43%"
"Tama","Iowa","67,955","37.19%","47.46%"
"Ohio","Indiana","67,942","37.22%","47.49%"
"Grant","Kentucky","67,940","37.25%","47.52%"
"Aiken","South Carolina","67,940","37.28%","47.56%"
"Pima","Arizona","67,929","37.31%","47.59%"
"Kerr","Texas","67,927","37.34%","47.62%"
"Lucas","Iowa","67,921","37.37%","47.65%"
"Nelson","Kentucky","67,888","37.4%","47.69%"
"Murray","Georgia","67,880","37.43%","47.72%"
"Carbon","Pennsylvania","67,877","37.47%","47.75%"
"Alfalfa","Oklahoma","67,870","37.5%","47.78%"
"Jefferson","Kentucky","67,849","37.53%","47.81%"
"Calcasieu Parish","Louisiana","67,849","37.56%","47.85%"
"Clark","Kentucky","67,824","37.59%","47.88%"
"Trimble","Kentucky","67,813","37.62%","47.91%"
"Niagara","New York","67,809","37.65%","47.94%"
"Gillespie","Texas","67,799","37.68%","47.98%"
"Scott","Kansas","67,788","37.71%","48.01%"
"Craig","Virginia","67,778","37.74%","48.04%"
"Larue","Kentucky","67,770","37.77%","48.07%"
"Cheyenne","Colorado","67,768","37.81%","48.11%"
"Teton","Montana","67,766","37.84%","48.14%"
"Gibson","Indiana","67,763","37.87%","48.17%"
"Hampton city","Virginia","67,758","37.9%","48.2%"
"Hancock","Mississippi","67,728","37.93%","48.24%"
"Lincoln","Wisconsin","67,726","37.96%","48.27%"
"Lincoln","Minnesota","67,715","37.99%","48.3%"
"Butte","South Dakota","67,692","38.02%","48.33%"
"Shelby","Iowa","67,690","38.05%","48.36%"
"Pecos","Texas","67,689","38.08%","48.4%"
"Wayne","Nebraska","67,687","38.11%","48.43%"
"Clay","Indiana","67,676","38.15%","48.46%"
"Sedgwick","Kansas","67,675","38.18%","48.49%"
"Kern","California","67,660","38.21%","48.53%"
"Lafayette Parish","Louisiana","67,660","38.24%","48.56%"
"Fayette","Kentucky","67,631","38.27%","48.59%"
"Henderson","North Carolina","67,623","38.3%","48.62%"
"Crawford","Illinois","67,614","38.33%","48.66%"
"Hardin","Kentucky","67,608","38.36%","48.69%"
"Scotland","Missouri","67,568","38.39%","48.72%"
"Bourbon","Kansas","67,555","38.42%","48.75%"
"Hall","Nebraska","67,549","38.45%","48.78%"
"Cooper","Missouri","67,548","38.49%","48.82%"
"Marion","West Virginia","67,537","38.52%","48.85%"
"Cortland","New York","67,527","38.55%","48.88%"
"Yates","New York","67,521","38.58%","48.91%"
"San Patricio","Texas","67,512","38.61%","48.95%"
"Rusk","Texas","67,506","38.64%","48.98%"
"Arthur","Nebraska","67,500","38.67%","49.01%"
"Perkins","Nebraska","67,500","38.7%","49.04%"
"Sanpete","Utah","67,459","38.73%","49.07%"
"Madison","Montana","67,420","38.76%","49.11%"
"St. John the Baptist Parish","Louisiana","67,418","38.79%","49.14%"
"Stevens","Washington","67,405","38.83%","49.17%"
"Pasco","Florida","67,384","38.86%","49.2%"
"Coffey","Kansas","67,377","38.89%","49.24%"
"Emmons","North Dakota","67,368","38.92%","49.27%"
"Gulf","Florida","67,361","38.95%","49.3%"
"Sheridan","North Dakota","67,361","38.98%","49.33%"
"Brookings","South Dakota","67,341","39.01%","49.36%"
"Howard","Iowa","67,336","39.04%","49.4%"
"Graham","Arizona","67,326","39.07%","49.43%"
"Tulsa","Oklahoma","67,317","39.1%","49.46%"
"Bear Lake","Idaho","67,304","39.13%","49.49%"
"Garfield","Oklahoma","67,302","39.17%","49.52%"
"Androscoggin","Maine","67,298","39.2%","49.56%"
"Amherst","Virginia","67,298","39.23%","49.59%"
"Otsego","Michigan","67,285","39.26%","49.62%"
"Taylor","Iowa","67,279","39.29%","49.65%"
"Beltrami","Minnesota","67,257","39.32%","49.69%"
"Holt","Nebraska","67,225","39.35%","49.72%"
"Jackson","Missouri","67,178","39.38%","49.75%"
"Lancaster","Virginia","67,169","39.41%","49.78%"
"Lee","Mississippi","67,144","39.44%","49.81%"
"Vilas","Wisconsin","67,132","39.47%","49.85%"
"Madison","Texas","67,128","39.51%","49.88%"
"Johnson","Missouri","67,123","39.54%","49.91%"
"Edgefield","South Carolina","67,092","39.57%","49.94%"
"Otsego","New York","67,086","39.6%","49.97%"
"Grimes","Texas","67,080","39.63%","50.01%"
"LaSalle Parish","Louisiana","67,077","39.66%","50.04%"
"Cavalier","North Dakota","67,064","39.69%","50.07%"
"Cassia","Idaho","67,042","39.72%","50.1%"
"Shawano","Wisconsin","67,032","39.75%","50.13%"
"Redwood","Minnesota","67,024","39.78%","50.17%"
"Lenawee","Michigan","67,013","39.81%","50.2%"
"Humboldt","Iowa","66,994","39.85%","50.23%"
"Susquehanna","Pennsylvania","66,930","39.88%","50.26%"
"Green Lake","Wisconsin","66,917","39.91%","50.29%"
"Van Buren","Michigan","66,902","39.94%","50.33%"
"Schuylkill","Pennsylvania","66,901","39.97%","50.36%"
"Pembina","North Dakota","66,884","40%","50.39%"
"Calhoun","Iowa","66,875","40.03%","50.42%"
"Greene","Pennsylvania","66,870","40.06%","50.45%"
"Hancock","Kentucky","66,836","40.09%","50.49%"
"Clarke","Iowa","66,821","40.12%","50.52%"
"Franklin","Texas","66,800","40.15%","50.55%"
"Ellsworth","Kansas","66,792","40.19%","50.58%"
"Del Norte","California","66,780","40.22%","50.61%"
"Parke","Indiana","66,776","40.25%","50.64%"
"Rock Island","Illinois","66,768","40.28%","50.68%"
"Lawrence","South Dakota","66,766","40.31%","50.71%"
"Georgetown","South Carolina","66,734","40.34%","50.74%"
"Carbon","Wyoming","66,721","40.37%","50.77%"
"Newport News city","Virginia","66,718","40.4%","50.8%"
"Salem city","Virginia","66,716","40.43%","50.84%"
"Moore","Tennessee","66,687","40.46%","50.87%"
"Caribou","Idaho","66,653","40.49%","50.9%"
"Park","Montana","66,607","40.53%","50.93%"
"Pendleton","Kentucky","66,601","40.56%","50.96%"
"Cayuga","New York","66,583","40.59%","51%"
"Volusia","Florida","66,581","40.62%","51.03%"
"Montgomery","Indiana","66,571","40.65%","51.06%"
"Buena Vista","Iowa","66,564","40.68%","51.09%"
"Tillamook","Oregon","66,551","40.71%","51.12%"
"Bernalillo","New Mexico","66,514","40.74%","51.15%"
"Franklin","Kentucky","66,470","40.77%","51.19%"
"Pulaski","Missouri","66,435","40.8%","51.22%"
"Washington","Arkansas","66,426","40.83%","51.25%"
"Orleans","Vermont","66,426","40.87%","51.28%"
"Wood","Wisconsin","66,417","40.9%","51.31%"
"Taylor","Texas","66,406","40.93%","51.34%"
"Itasca","Minnesota","66,380","40.96%","51.38%"
"Caroline","Maryland","66,368","40.99%","51.41%"
"Kinney","Texas","66,341","41.02%","51.44%"
"Amelia","Virginia","66,339","41.05%","51.47%"
"Bossier Parish","Louisiana","66,336","41.08%","51.5%"
"Custer","Nebraska","66,310","41.11%","51.53%"
"Platte","Wyoming","66,299","41.14%","51.57%"
"Tom Green","Texas","66,254","41.17%","51.6%"
"Pike","Indiana","66,250","41.21%","51.63%"
"Robertson","Texas","66,250","41.24%","51.66%"
"Clark","Wisconsin","66,250","41.27%","51.69%"
"Gem","Idaho","66,245","41.3%","51.72%"
"Roane","Tennessee","66,218","41.33%","51.76%"
"Cascade","Montana","66,203","41.36%","51.79%"
"Adair","Iowa","66,176","41.39%","51.82%"
"Charlotte","Florida","66,154","41.42%","51.85%"
"White","Indiana","66,143","41.45%","51.88%"
"Roberts","Texas","66,118","41.48%","51.91%"
"Ness","Kansas","66,107","41.51%","51.95%"
"Yavapai","Arizona","66,106","41.55%","51.98%"
"Wharton","Texas","66,100","41.58%","52.01%"
"Caledonia","Vermont","66,075","41.61%","52.04%"
"Pipestone","Minnesota","66,073","41.64%","52.07%"
"Montrose","Colorado","66,072","41.67%","52.1%"
"Schuyler","Illinois","66,059","41.7%","52.13%"
"Bell","Texas","66,051","41.73%","52.17%"
"Shawnee","Kansas","66,043","41.76%","52.2%"
"Harrison","Texas","66,040","41.79%","52.23%"
"Lincoln","Idaho","66,038","41.82%","52.26%"
"Guilford","North Carolina","66,027","41.85%","52.29%"
"Nueces","Texas","66,021","41.89%","52.32%"
"Seneca","New York","66,007","41.92%","52.36%"
"Allamakee","Iowa","66,000","41.95%","52.39%"
"Lee","Texas","66,000","41.98%","52.42%"
"Franklin","Idaho","65,991","42.01%","52.45%"
"Phelps","Nebraska","65,988","42.04%","52.48%"
"Huron","Ohio","65,972","42.07%","52.51%"
"Traverse","Minnesota","65,931","42.1%","52.54%"
"Bureau","Illinois","65,894","42.13%","52.58%"
"Stark","Ohio","65,740","42.16%","52.61%"
"Payette","Idaho","65,723","42.19%","52.64%"
"Escambia","Florida","65,715","42.23%","52.67%"
"Kimble","Texas","65,703","42.26%","52.7%"
"Union","Georgia","65,697","42.29%","52.73%"
"Jack","Texas","65,693","42.32%","52.76%"
"Adams","Nebraska","65,680","42.35%","52.8%"
"Kossuth","Iowa","65,656","42.38%","52.83%"
"Henderson","Illinois","65,651","42.41%","52.86%"
"Llano","Texas","65,636","42.44%","52.89%"
"Morton","Kansas","65,625","42.47%","52.92%"
"Schuyler","New York","65,625","42.5%","52.95%"
"Habersham","Georgia","65,622","42.53%","52.98%"
"Elkhart","Indiana","65,617","42.57%","53.01%"
"Wallowa","Oregon","65,559","42.6%","53.05%"
"Lawrence","Indiana","65,551","42.63%","53.08%"
"Forsyth","North Carolina","65,541","42.66%","53.11%"
"Cerro Gordo","Iowa","65,537","42.69%","53.14%"
"Iron","Utah","65,527","42.72%","53.17%"
"Williamson","Illinois","65,521","42.75%","53.2%"
"Clark","Kansas","65,515","42.78%","53.23%"
"Nobles","Minnesota","65,509","42.81%","53.27%"
"Jackson","Wisconsin","65,508","42.84%","53.3%"
"Big Stone","Minnesota","65,475","42.87%","53.33%"
"Gaston","North Carolina","65,472","42.91%","53.36%"
"Hutchinson","Texas","65,470","42.94%","53.39%"
"Perkins","South Dakota","65,455","42.97%","53.42%"
"Nance","Nebraska","65,438","43%","53.45%"
"Huntingdon","Pennsylvania","65,429","43.03%","53.48%"
"Dawson","Nebraska","65,383","43.06%","53.52%"
"Mariposa","California","65,378","43.09%","53.55%"
"Oklahoma","Oklahoma","65,374","43.12%","53.58%"
"Erath","Texas","65,351","43.15%","53.61%"
"Martin","Indiana","65,345","43.18%","53.64%"
"Van Wert","Ohio","65,344","43.21%","53.67%"
"Twin Falls","Idaho","65,338","43.25%","53.7%"
"Daviess","Kentucky","65,323","43.28%","53.73%"
"Alexander","North Carolina","65,268","43.31%","53.76%"
"Jefferson Parish","Louisiana","65,246","43.34%","53.8%"
"Johnson","Illinois","65,203","43.37%","53.83%"
"Webster","Nebraska","65,197","43.4%","53.86%"
"Emmet","Iowa","65,181","43.43%","53.89%"
"Latah","Idaho","65,179","43.46%","53.92%"
"Clinton","Iowa","65,177","43.49%","53.95%"
"Morgan","Illinois","65,175","43.52%","53.98%"
"Bonner","Idaho","65,168","43.55%","54.01%"
"Washington","Colorado","65,164","43.59%","54.04%"
"Moniteau","Missouri","65,161","43.62%","54.08%"
"Juneau","Wisconsin","65,150","43.65%","54.11%"
"Switzerland","Indiana","65,148","43.68%","54.14%"
"Franklin city","Virginia","65,125","43.71%","54.17%"
"Gasconade","Missouri","65,096","43.74%","54.2%"
"Codington","South Dakota","65,080","43.77%","54.23%"
"Leon","Florida","65,074","43.8%","54.26%"
"Faulkner","Arkansas","65,071","43.83%","54.29%"
"Kennebec","Maine","65,062","43.86%","54.32%"
"Woodward","Oklahoma","65,060","43.89%","54.36%"
"Blaine","Montana","65,050","43.93%","54.39%"
"Merced","California","65,044","43.96%","54.42%"
"Hancock","Illinois","65,044","43.99%","54.45%"
"Adams","Washington","65,042","44.02%","54.48%"
"Crawford","Iowa","65,039","44.05%","54.51%"
"Seneca","Ohio","65,020","44.08%","54.54%"
"Haralson","Georgia","65,016","44.11%","54.57%"
"Jackson","Michigan","65,004","44.14%","54.6%"
"Rawlins","Kansas","65,000","44.17%","54.63%"
"Campbell","South Dakota","65,000","44.2%","54.67%"
"Beauregard Parish","Louisiana","64,995","44.23%","54.7%"
"Ashland","Ohio","64,991","44.27%","54.73%"
"Ochiltree","Texas","64,988","44.3%","54.76%"
"Jefferson","New York","64,978","44.33%","54.79%"
"Palo Pinto","Texas","64,972","44.36%","54.82%"
"Waushara","Wisconsin","64,968","44.39%","54.85%"
"Adams","Illinois","64,962","44.42%","54.88%"
"Plumas","California","64,946","44.45%","54.91%"
"Peoria","Illinois","64,938","44.48%","54.95%"
"Cass","Minnesota","64,937","44.51%","54.98%"
"Clearwater","Minnesota","64,934","44.54%","55.01%"
"Person","North Carolina","64,927","44.57%","55.04%"
"Anderson","Kansas","64,925","44.61%","55.07%"
"Union","Florida","64,922","44.64%","55.1%"
"Cass","Illinois","64,907","44.67%","55.13%"
"Hardin","Iowa","64,906","44.7%","55.16%"
"Montcalm","Michigan","64,892","44.73%","55.19%"
"St. Joseph","Indiana","64,885","44.76%","55.22%"
"Goshen","Wyoming","64,882","44.79%","55.26%"
"Rains","Texas","64,874","44.82%","55.29%"
"Morgan","Alabama","64,858","44.85%","55.32%"
"Charles Mix","South Dakota","64,850","44.88%","55.35%"
"Thurston","Nebraska","64,838","44.91%","55.38%"
"Poweshiek","Iowa","64,837","44.95%","55.41%"
"Knox","Nebraska","64,821","44.98%","55.44%"
"Terrebonne Parish","Louisiana","64,819","45.01%","55.47%"
"Giles","Virginia","64,819","45.04%","55.5%"
"Gregg","Texas","64,809","45.07%","55.53%"
"De Witt","Illinois","64,802","45.1%","55.56%"
"Warren","Kentucky","64,801","45.13%","55.6%"
"Fulton","Pennsylvania","64,798","45.16%","55.63%"
"Wibaux","Montana","64,792","45.19%","55.66%"
"Rutland","Vermont","64,778","45.22%","55.69%"
"Liberty","Texas","64,773","45.26%","55.72%"
"Curry","Oregon","64,769","45.29%","55.75%"
"Orange","Indiana","64,758","45.32%","55.78%"
"Sullivan","Pennsylvania","64,758","45.35%","55.81%"
"Jackson","Mississippi","64,756","45.38%","55.84%"
"Long","Georgia","64,747","45.41%","55.87%"
"Ballard","Kentucky","64,740","45.44%","55.9%"
"Steuben","New York","64,740","45.47%","55.94%"
"Griggs","North Dakota","64,737","45.5%","55.97%"
"Perry","Ohio","64,737","45.53%","56%"
"Hopkins","Texas","64,725","45.56%","56.03%"
"St. Joseph","Michigan","64,707","45.6%","56.06%"
"Fisher","Texas","64,700","45.63%","56.09%"
"Lackawanna","Pennsylvania","64,691","45.66%","56.12%"
"Mendocino","California","64,688","45.69%","56.15%"
"Jones","South Dakota","64,688","45.72%","56.18%"
"Anderson","South Carolina","64,683","45.75%","56.21%"
"Marquette","Michigan","64,675","45.78%","56.24%"
"Carroll","Ohio","64,675","45.81%","56.28%"
"Coffee","Alabama","64,672","45.84%","56.31%"
"Shackelford","Texas","64,659","45.87%","56.34%"
"Darke","Ohio","64,654","45.9%","56.37%"
"Warren","Illinois","64,650","45.94%","56.4%"
"Winchester city","Virginia","64,648","45.97%","56.43%"
"Fremont","Wyoming","64,646","46%","56.46%"
"Madison","Nebraska","64,637","46.03%","56.49%"
"Craven","North Carolina","64,635","46.06%","56.52%"
"Horry","South Carolina","64,623","46.09%","56.55%"
"Barron","Wisconsin","64,619","46.12%","56.58%"
"Henry","Iowa","64,604","46.15%","56.61%"
"Jefferson","Alabama","64,589","46.18%","56.65%"
"Newton","Missouri","64,583","46.21%","56.68%"
"Black Hawk","Iowa","64,581","46.24%","56.71%"
"Onslow","North Carolina","64,568","46.28%","56.74%"
"Wrangell City and Borough","Alaska","64,545","46.31%","56.77%"
"Catawba","North Carolina","64,544","46.34%","56.8%"
"Whiteside","Illinois","64,536","46.37%","56.83%"
"St. James Parish","Louisiana","64,536","46.4%","56.86%"
"Transylvania","North Carolina","64,523","46.43%","56.89%"
"Valley","Montana","64,515","46.46%","56.92%"
"Floyd","Iowa","64,500","46.49%","56.95%"
"Cumberland","New Jersey","64,499","46.52%","56.98%"
"Tuscarawas","Ohio","64,494","46.55%","57.02%"
"Mills","Texas","64,494","46.58%","57.05%"
"Cherokee","Iowa","64,478","46.62%","57.08%"
"Lyon","Kentucky","64,464","46.65%","57.11%"
"Shiawassee","Michigan","64,464","46.68%","57.14%"
"Alamance","North Carolina","64,445","46.71%","57.17%"
"Sherman","Kansas","64,444","46.74%","57.2%"
"Shenandoah","Virginia","64,437","46.77%","57.23%"
"Gage","Nebraska","64,426","46.8%","57.26%"
"Lycoming","Pennsylvania","64,412","46.83%","57.29%"
"Montgomery","Ohio","64,403","46.86%","57.32%"
"Lassen","California","64,395","46.89%","57.35%"
"Rush","Indiana","64,393","46.92%","57.38%"
"Faribault","Minnesota","64,391","46.96%","57.42%"
"Hot Springs","Wyoming","64,375","46.99%","57.45%"
"Winnebago","Illinois","64,363","47.02%","57.48%"
"Ingham","Michigan","64,354","47.05%","57.51%"
"Grant","Wisconsin","64,349","47.08%","57.54%"
"Pratt","Kansas","64,348","47.11%","57.57%"
"Kershaw","South Carolina","64,343","47.14%","57.6%"
"Lincoln","Nebraska","64,342","47.17%","57.63%"
"Lafayette","Mississippi","64,334","47.2%","57.66%"
"Hinsdale","Colorado","64,327","47.23%","57.69%"
"Armstrong","Pennsylvania","64,295","47.26%","57.72%"
"Beaver","Oklahoma","64,266","47.3%","57.75%"
"Whitfield","Georgia","64,262","47.33%","57.78%"
"Borden","Texas","64,250","47.36%","57.81%"
"McIntosh","North Dakota","64,236","47.39%","57.85%"
"Gilliam","Oregon","64,219","47.42%","57.88%"
"Union","Oregon","64,212","47.45%","57.91%"
"Spartanburg","South Carolina","64,195","47.48%","57.94%"
"Logan","Illinois","64,188","47.51%","57.97%"
"Richmond","Virginia","64,184","47.54%","58%"
"Putnam","Georgia","64,163","47.57%","58.03%"
"Elk","Pennsylvania","64,103","47.6%","58.06%"
"Clay","Iowa","64,082","47.64%","58.09%"
"Bannock","Idaho","64,080","47.67%","58.12%"
"Wright","Iowa","64,033","47.7%","58.15%"
"Norfolk city","Virginia","64,017","47.73%","58.18%"
"DeWitt","Texas","64,014","47.76%","58.21%"
"Carroll","Indiana","64,003","47.79%","58.24%"
"Lake and Peninsula Borough","Alaska","64,000","47.82%","58.27%"
"Tate","Mississippi","63,995","47.85%","58.3%"
"Rockbridge","Virginia","63,975","47.88%","58.33%"
"Henderson","Texas","63,955","47.91%","58.37%"
"Tuscaloosa","Alabama","63,947","47.94%","58.4%"
"Rice","Kansas","63,947","47.98%","58.43%"
"Juniata","Pennsylvania","63,923","48.01%","58.46%"
"Pasquotank","North Carolina","63,912","48.04%","58.49%"
"Marion","Missouri","63,908","48.07%","58.52%"
"Johnson","Wyoming","63,905","48.1%","58.55%"
"McLennan","Texas","63,888","48.13%","58.58%"
"Orleans","New York","63,838","48.16%","58.61%"
"Sevier","Tennessee","63,829","48.19%","58.64%"
"Morgan","West Virginia","63,805","48.22%","58.67%"
"Bradley","Tennessee","63,789","48.25%","58.7%"
"Stafford","Kansas","63,786","48.28%","58.73%"
"Hickman","Kentucky","63,750","48.32%","58.76%"
"Antelope","Nebraska","63,750","48.35%","58.79%"
"Cherry","Nebraska","63,750","48.38%","58.82%"
"Pend Oreille","Washington","63,750","48.41%","58.85%"
"Franklin","New York","63,747","48.44%","58.88%"
"Young","Texas","63,723","48.47%","58.91%"
"Winnebago","Iowa","63,719","48.5%","58.94%"
"Roberts","South Dakota","63,691","48.53%","58.97%"
"Clinton","Indiana","63,690","48.56%","59.01%"
"Calhoun","Arkansas","63,654","48.59%","59.04%"
"Sheridan","Montana","63,654","48.62%","59.07%"
"Franklin","Iowa","63,648","48.66%","59.1%"
"Polk","Florida","63,644","48.69%","59.13%"
"Broadwater","Montana","63,636","48.72%","59.16%"
"Pawnee","Kansas","63,625","48.75%","59.19%"
"Oceana","Michigan","63,624","48.78%","59.22%"
"Marshall","Kentucky","63,611","48.81%","59.25%"
"Wasco","Oregon","63,602","48.84%","59.28%"
"Custer","Montana","63,585","48.87%","59.31%"
"Grays Harbor","Washington","63,539","48.9%","59.34%"
"Jasper","South Carolina","63,503","48.93%","59.37%"
"Crawford","Wisconsin","63,496","48.96%","59.4%"
"Muskegon","Michigan","63,495","49%","59.43%"
