"county","state","estimated_house_price","cum_county","cum_estimated_house_price"
"Northampton","Virginia","243,952","32.86%","56.32%"
"Perquimans","North Carolina","243,739","32.89%","56.35%"
"Pamlico","North Carolina","243,720","32.92%","56.39%"
"Union","Tennessee","243,602","32.95%","56.42%"
"Hartley","Texas","243,407","32.98%","56.45%"
"Sherman","Oregon","243,276","33.01%","56.49%"
"Goliad","Texas","243,076","33.04%","56.52%"
"Cumberland","Virginia","242,925","33.08%","56.55%"
"Elmore","Alabama","242,914","33.11%","56.58%"
"Rock","Minnesota","242,852","33.14%","56.62%"
"Plymouth","Iowa","242,627","33.17%","56.65%"
"Lamar","Georgia","242,414","33.2%","56.68%"
"Webster","Missouri","242,233","33.23%","56.72%"
"Kandiyohi","Minnesota","242,216","33.26%","56.75%"
"Kenton","Kentucky","242,048","33.29%","56.78%"
"Hamilton","Nebraska","241,721","33.32%","56.81%"
"Hand","South Dakota","241,605","33.35%","56.85%"
"Sheboygan","Wisconsin","241,417","33.38%","56.88%"
"Anderson","South Carolina","241,212","33.42%","56.91%"
"Logan","Colorado","241,192","33.45%","56.94%"
"Long","Georgia","241,147","33.48%","56.98%"
"Yuma","Colorado","241,024","33.51%","57.01%"
"Suwannee","Florida","240,986","33.54%","57.04%"
"Charles City","Virginia","240,866","33.57%","57.07%"
"Erie","New York","240,646","33.6%","57.11%"
"Kidder","North Dakota","240,528","33.63%","57.14%"
"Glades","Florida","240,525","33.66%","57.17%"
"Las Animas","Colorado","240,350","33.69%","57.2%"
"Randall","Texas","240,298","33.72%","57.24%"
"Ripley","Indiana","240,274","33.76%","57.27%"
"Monongalia","West Virginia","240,273","33.79%","57.3%"
"Liberty","Texas","240,230","33.82%","57.33%"
"Monroe","Tennessee","240,178","33.85%","57.36%"
"Ottawa","Ohio","240,094","33.88%","57.4%"
"Marshall","South Dakota","240,059","33.91%","57.43%"
"Rankin","Mississippi","240,023","33.94%","57.46%"
"Phillips","Colorado","239,812","33.97%","57.49%"
"Barron","Wisconsin","239,797","34%","57.53%"
"Knox","Ohio","239,696","34.03%","57.56%"
"Jasper","Indiana","239,606","34.06%","57.59%"
"Carbon","Utah","239,385","34.1%","57.62%"
"Polk","Missouri","239,366","34.13%","57.66%"
"Madison","Kentucky","239,284","34.16%","57.69%"
"Montague","Texas","239,269","34.19%","57.72%"
"Vernon","Wisconsin","239,158","34.22%","57.75%"
"Saline","Arkansas","239,150","34.25%","57.78%"
"Traill","North Dakota","239,139","34.28%","57.82%"
"Haralson","Georgia","239,028","34.31%","57.85%"
"Oconto","Wisconsin","238,722","34.34%","57.88%"
"Colorado","Texas","238,595","34.37%","57.91%"
"Tipton","Tennessee","238,530","34.4%","57.95%"
"Green Lake","Wisconsin","238,102","34.44%","57.98%"
"Fillmore","Minnesota","238,035","34.47%","58.01%"
"Hampton city","Virginia","237,980","34.5%","58.04%"
"Clinton","Missouri","237,913","34.53%","58.07%"
"Surry","Virginia","237,739","34.56%","58.11%"
"Livingston Parish","Louisiana","237,682","34.59%","58.14%"
"Clayton","Georgia","237,602","34.62%","58.17%"
"Mason","Michigan","237,535","34.65%","58.2%"
"Lake","Minnesota","237,454","34.68%","58.23%"
"Lafayette Parish","Louisiana","237,447","34.71%","58.27%"
"Gordon","Georgia","237,380","34.74%","58.3%"
"Kalamazoo","Michigan","237,330","34.78%","58.33%"
"Union","Florida","236,625","34.81%","58.36%"
"Salem","New Jersey","236,615","34.84%","58.39%"
"Irion","Texas","236,502","34.87%","58.43%"
"Staunton city","Virginia","236,449","34.9%","58.46%"
"Oktibbeha","Mississippi","236,359","34.93%","58.49%"
"Dorchester","Maryland","236,068","34.96%","58.52%"
"Dubuque","Iowa","236,048","34.99%","58.55%"
"Menominee","Wisconsin","236,035","35.02%","58.58%"
"Macomb","Michigan","235,894","35.05%","58.62%"
"Davidson","North Carolina","235,853","35.09%","58.65%"
"Upshur","Texas","235,345","35.12%","58.68%"
"West Baton Rouge Parish","Louisiana","235,235","35.15%","58.71%"
"Winona","Minnesota","235,156","35.18%","58.74%"
"Howard","Nebraska","235,051","35.21%","58.78%"
"Hayes","Nebraska","235,019","35.24%","58.81%"
"Whitley","Indiana","234,875","35.27%","58.84%"
"Roberts","South Dakota","234,867","35.3%","58.87%"
"Craven","North Carolina","234,737","35.33%","58.9%"
"Bartholomew","Indiana","234,541","35.36%","58.93%"
"Berrien","Michigan","234,476","35.39%","58.97%"
"Lamar","Mississippi","234,385","35.43%","59%"
"Deer Lodge","Montana","234,382","35.46%","59.03%"
"Chouteau","Montana","234,058","35.49%","59.06%"
"Cleveland","Oklahoma","233,925","35.52%","59.09%"
"Franklin","Missouri","233,895","35.55%","59.12%"
"Hoke","North Carolina","233,777","35.58%","59.15%"
"Carroll","Arkansas","233,464","35.61%","59.19%"
"White","Tennessee","233,447","35.64%","59.22%"
"Colfax","New Mexico","233,063","35.67%","59.25%"
"Wicomico","Maryland","232,980","35.7%","59.28%"
"Cass","Michigan","232,954","35.73%","59.31%"
"Beltrami","Minnesota","232,789","35.77%","59.34%"
"DeKalb","Illinois","232,735","35.8%","59.37%"
"Andrew","Missouri","232,586","35.83%","59.41%"
"Aitkin","Minnesota","232,556","35.86%","59.44%"
"Autauga","Alabama","232,231","35.89%","59.47%"
"Van Buren","Michigan","231,787","35.92%","59.5%"
"Riley","Kansas","231,713","35.95%","59.53%"
"Washakie","Wyoming","231,703","35.98%","59.56%"
"Cullman","Alabama","231,677","36.01%","59.59%"
"Marion","Iowa","231,535","36.04%","59.62%"
"Richland","South Carolina","231,503","36.07%","59.66%"
"Hamilton","Ohio","231,421","36.11%","59.69%"
"Ward","North Dakota","231,421","36.14%","59.72%"
"Cole","Missouri","231,355","36.17%","59.75%"
"Day","South Dakota","231,164","36.2%","59.78%"
"Portage","Ohio","231,030","36.23%","59.81%"
"Clark","Indiana","230,871","36.26%","59.84%"
"Highlands","Florida","230,853","36.29%","59.87%"
"Jefferson","Kansas","230,687","36.32%","59.91%"
"Faulkner","Arkansas","230,686","36.35%","59.94%"
"Sequatchie","Tennessee","230,644","36.38%","59.97%"
"Boone","Nebraska","230,598","36.41%","60%"
"Ohio","Indiana","230,515","36.45%","60.03%"
"Andrews","Texas","230,353","36.48%","60.06%"
"Guthrie","Iowa","230,171","36.51%","60.09%"
"Campbell","Virginia","229,997","36.54%","60.12%"
"Newberry","South Carolina","229,979","36.57%","60.15%"
"Greene","Missouri","229,783","36.6%","60.18%"
"Robertson","Texas","229,456","36.63%","60.22%"
"Fond du Lac","Wisconsin","229,393","36.66%","60.25%"
"Lincoln","Nevada","229,350","36.69%","60.28%"
"Keya Paha","Nebraska","229,337","36.72%","60.31%"
"Garland","Arkansas","229,099","36.75%","60.34%"
"Powder River","Montana","228,875","36.79%","60.37%"
"Penobscot","Maine","228,800","36.82%","60.4%"
"Dauphin","Pennsylvania","228,610","36.85%","60.43%"
"Rock","Wisconsin","228,535","36.88%","60.46%"
"Cleburne","Arkansas","228,182","36.91%","60.49%"
"Spalding","Georgia","228,088","36.94%","60.52%"
"Lafayette","Florida","227,910","36.97%","60.55%"
"Highland","Virginia","227,885","37%","60.59%"
"Oceana","Michigan","227,841","37.03%","60.62%"
"Carbon","Pennsylvania","227,717","37.06%","60.65%"
"Monroe","Michigan","227,697","37.09%","60.68%"
"Milwaukee","Wisconsin","227,638","37.13%","60.71%"
"Hyde","North Carolina","227,521","37.16%","60.74%"
"Jefferson","Kentucky","227,464","37.19%","60.77%"
"Pepin","Wisconsin","227,347","37.22%","60.8%"
"Tallapoosa","Alabama","227,341","37.25%","60.83%"
"Lassen","California","227,165","37.28%","60.86%"
"Archer","Texas","227,120","37.31%","60.89%"
"Stanton","Nebraska","227,010","37.34%","60.92%"
"Todd","Minnesota","226,848","37.37%","60.95%"
"Elkhart","Indiana","226,572","37.4%","60.98%"
"Hocking","Ohio","226,199","37.43%","61.01%"
"Hall","Nebraska","226,117","37.47%","61.04%"
"Hancock","Mississippi","226,105","37.5%","61.08%"
"Grainger","Tennessee","226,049","37.53%","61.11%"
"Bosque","Texas","225,937","37.56%","61.14%"
"Coryell","Texas","225,865","37.59%","61.17%"
"Bulloch","Georgia","225,864","37.62%","61.2%"
"Nelson","Kentucky","225,850","37.65%","61.23%"
"Putnam","Indiana","225,693","37.68%","61.26%"
"Lee","Georgia","225,577","37.71%","61.29%"
"St. Clair","Michigan","225,463","37.74%","61.32%"
"Lincoln","Tennessee","225,348","37.77%","61.35%"
"Taylor","Wisconsin","225,235","37.81%","61.38%"
"Radford city","Virginia","225,050","37.84%","61.41%"
"Waushara","Wisconsin","225,012","37.87%","61.44%"
"Cameron Parish","Louisiana","224,979","37.9%","61.47%"
"Snyder","Pennsylvania","224,751","37.93%","61.5%"
"Pasquotank","North Carolina","224,706","37.96%","61.53%"
"Trempealeau","Wisconsin","224,517","37.99%","61.56%"
"Eaton","Michigan","224,376","38.02%","61.59%"
"Person","North Carolina","224,346","38.05%","61.62%"
"Clay","South Dakota","224,213","38.08%","61.65%"
"Blount","Alabama","223,902","38.11%","61.68%"
"Nueces","Texas","223,777","38.15%","61.71%"
"Kearney","Nebraska","223,775","38.18%","61.74%"
"Giles","Tennessee","223,680","38.21%","61.77%"
"Tangipahoa Parish","Louisiana","223,425","38.24%","61.8%"
"Harrison","Indiana","223,195","38.27%","61.83%"
"Callaway","Missouri","223,090","38.3%","61.86%"
"Randolph","North Carolina","222,924","38.33%","61.89%"
"Reeves","Texas","222,907","38.36%","61.92%"
"Madison","Arkansas","222,894","38.39%","61.95%"
"Goshen","Wyoming","222,883","38.42%","61.98%"
"Portsmouth city","Virginia","222,755","38.45%","62.01%"
"Manistee","Michigan","222,731","38.49%","62.04%"
"Amherst","Virginia","222,654","38.52%","62.07%"
"Martin","Texas","222,642","38.55%","62.1%"
"Davison","South Dakota","222,627","38.58%","62.13%"
"Eddy","New Mexico","222,510","38.61%","62.16%"
"Hampshire","West Virginia","222,461","38.64%","62.19%"
"Mercer","Ohio","222,363","38.67%","62.22%"
"Bremer","Iowa","222,351","38.7%","62.25%"
"San Juan","New Mexico","222,333","38.73%","62.28%"
"Miller","Missouri","222,171","38.76%","62.31%"
"Alexander","North Carolina","221,994","38.79%","62.34%"
"Pitt","North Carolina","221,992","38.83%","62.37%"
"Marquette","Wisconsin","221,307","38.86%","62.4%"
"Rhea","Tennessee","221,178","38.89%","62.43%"
"Houston","Georgia","220,893","38.92%","62.46%"
"Kit Carson","Colorado","220,752","38.95%","62.49%"
"Heard","Georgia","220,747","38.98%","62.52%"
"St. Bernard Parish","Louisiana","220,734","39.01%","62.55%"
"Cooper","Missouri","220,643","39.04%","62.58%"
"Waupaca","Wisconsin","220,593","39.07%","62.61%"
"Mountrail","North Dakota","220,548","39.1%","62.64%"
"Osage","Missouri","220,524","39.13%","62.67%"
"Boone","Illinois","220,522","39.17%","62.7%"
"Tulsa","Oklahoma","220,475","39.2%","62.73%"
"Kershaw","South Carolina","220,457","39.23%","62.76%"
"Bossier Parish","Louisiana","220,430","39.26%","62.79%"
"Miami","Ohio","220,349","39.29%","62.82%"
"Hardin","Texas","220,270","39.32%","62.85%"
"Finney","Kansas","220,214","39.35%","62.88%"
"Cumberland","New Jersey","220,082","39.38%","62.91%"
"Burke","North Carolina","220,075","39.41%","62.94%"
"Washington","Colorado","219,887","39.44%","62.97%"
"Macon","Tennessee","219,726","39.47%","63%"
"Butler","Kansas","219,697","39.51%","63.03%"
"McMinn","Tennessee","219,582","39.54%","63.06%"
"Floyd","Virginia","219,542","39.57%","63.09%"
"Grant","Kentucky","219,461","39.6%","63.12%"
"Tuscaloosa","Alabama","219,408","39.63%","63.15%"
"Ramsey","North Dakota","219,404","39.66%","63.17%"
"Tom Green","Texas","219,347","39.69%","63.2%"
"Ray","Missouri","219,302","39.72%","63.23%"
"Shelby","Tennessee","218,850","39.75%","63.26%"
"Lake","Indiana","218,764","39.78%","63.29%"
"Lawrence","Tennessee","218,719","39.81%","63.32%"
"Coos","New Hampshire","218,656","39.85%","63.35%"
"Philadelphia","Pennsylvania","218,563","39.88%","63.38%"
"Pondera","Montana","218,154","39.91%","63.41%"
"Ector","Texas","218,078","39.94%","63.44%"
"Dade","Georgia","218,002","39.97%","63.47%"
"Titus","Texas","217,973","40%","63.5%"
"Hill","Montana","217,958","40.03%","63.53%"
"Nacogdoches","Texas","217,933","40.06%","63.56%"
"Simpson","Kentucky","217,832","40.09%","63.59%"
"Monroe","New York","217,829","40.12%","63.62%"
"Hamblen","Tennessee","217,769","40.15%","63.65%"
"Columbia","Pennsylvania","217,549","40.19%","63.68%"
"Torrance","New Mexico","217,525","40.22%","63.7%"
"Cheboygan","Michigan","217,506","40.25%","63.73%"
"Custer","Montana","217,410","40.28%","63.76%"
"Cedar","Iowa","217,207","40.31%","63.79%"
"Southampton","Virginia","217,200","40.34%","63.82%"
"Dubois","Indiana","217,106","40.37%","63.85%"
"Juniata","Pennsylvania","217,094","40.4%","63.88%"
"Presidio","Texas","217,093","40.43%","63.91%"
"Madison","Nebraska","217,079","40.46%","63.94%"
"Bradford","Florida","217,037","40.49%","63.97%"
"Graham","North Carolina","216,844","40.53%","64%"
"Sanborn","South Dakota","216,687","40.56%","64.03%"
"Jones","Georgia","216,419","40.59%","64.06%"
"San Patricio","Texas","216,278","40.62%","64.08%"
"Clark","Idaho","216,042","40.65%","64.11%"
"Nash","North Carolina","215,986","40.68%","64.14%"
"Delaware","Iowa","215,847","40.71%","64.17%"
"Monroe","Wisconsin","215,833","40.74%","64.2%"
"Hardin","Kentucky","215,675","40.77%","64.23%"
"Jackson","Missouri","215,486","40.8%","64.26%"
"Marion","Indiana","215,434","40.83%","64.29%"
"Otsego","Michigan","215,398","40.87%","64.32%"
"Buffalo","Wisconsin","215,342","40.9%","64.35%"
"Brown","Ohio","215,258","40.93%","64.38%"
"Cuming","Nebraska","215,215","40.96%","64.4%"
"Dallas","Missouri","215,051","40.99%","64.43%"
"East Baton Rouge Parish","Louisiana","215,000","41.02%","64.46%"
"Jerauld","South Dakota","214,963","41.05%","64.49%"
"Marion","Tennessee","214,940","41.08%","64.52%"
"Cape Girardeau","Missouri","214,915","41.11%","64.55%"
"Essex","Vermont","214,901","41.14%","64.58%"
"Colleton","South Carolina","214,778","41.17%","64.61%"
"Waseca","Minnesota","214,578","41.21%","64.64%"
"Tripp","South Dakota","214,495","41.24%","64.67%"
"Beaufort","North Carolina","214,340","41.27%","64.69%"
"Cherokee","Alabama","214,319","41.3%","64.72%"
"Polk","Minnesota","214,169","41.33%","64.75%"
"Warren","Tennessee","214,156","41.36%","64.78%"
"Marshall","Alabama","214,096","41.39%","64.81%"
"Weston","Wyoming","214,026","41.42%","64.84%"
"Itasca","Minnesota","214,018","41.45%","64.87%"
"Lincoln","Georgia","213,875","41.48%","64.9%"
"Newaygo","Michigan","213,788","41.51%","64.92%"
"Richmond","Virginia","213,652","41.55%","64.95%"
"Sullivan","Tennessee","213,643","41.58%","64.98%"
"Chowan","North Carolina","213,588","41.61%","65.01%"
"McLean","Illinois","213,417","41.64%","65.04%"
"Freestone","Texas","213,348","41.67%","65.07%"
"San Miguel","New Mexico","213,315","41.7%","65.1%"
"Bryan","Oklahoma","213,199","41.73%","65.13%"
"Maries","Missouri","213,160","41.76%","65.16%"
"Whitfield","Georgia","213,106","41.79%","65.18%"
"Tate","Mississippi","212,985","41.82%","65.21%"
"Calcasieu Parish","Louisiana","212,959","41.85%","65.24%"
"Aiken","South Carolina","212,938","41.89%","65.27%"
"Lewis","Tennessee","212,907","41.92%","65.3%"
"DeKalb","Missouri","212,620","41.95%","65.33%"
"Morgan","Alabama","212,607","41.98%","65.36%"
"Musselshell","Montana","212,462","42.01%","65.38%"
"Ste. Genevieve","Missouri","212,378","42.04%","65.41%"
"Muskegon","Michigan","212,357","42.07%","65.44%"
"Cherokee","Texas","212,269","42.1%","65.47%"
"Douglas","Wisconsin","212,268","42.13%","65.5%"
"Wharton","Texas","212,255","42.16%","65.53%"
"Allen","Indiana","212,242","42.19%","65.56%"
"Marshall","Indiana","212,113","42.23%","65.59%"
"Lorain","Ohio","212,053","42.26%","65.61%"
"Hot Springs","Wyoming","212,039","42.29%","65.64%"
"Richland","Wisconsin","211,890","42.32%","65.67%"
"Overton","Tennessee","211,628","42.35%","65.7%"
"Ellis","Kansas","211,624","42.38%","65.73%"
"Gonzales","Texas","211,466","42.41%","65.76%"
"Warren","North Carolina","211,460","42.44%","65.78%"
"Mitchell","North Carolina","211,374","42.47%","65.81%"
"Stutsman","North Dakota","211,344","42.5%","65.84%"
"Charles Mix","South Dakota","211,311","42.53%","65.87%"
"LaPorte","Indiana","211,307","42.57%","65.9%"
"Champaign","Ohio","211,274","42.6%","65.93%"
"Shelby","Indiana","211,239","42.63%","65.96%"
"Anderson","Kentucky","211,122","42.66%","65.98%"
"Dodge","Nebraska","211,073","42.69%","66.01%"
"Lynchburg city","Virginia","210,857","42.72%","66.04%"
"St. Louis","Minnesota","210,790","42.75%","66.07%"
"San Saba","Texas","210,450","42.78%","66.1%"
"Stokes","North Carolina","210,421","42.81%","66.13%"
"Grady","Oklahoma","210,359","42.84%","66.15%"
"Chilton","Alabama","210,209","42.87%","66.18%"
"Delaware","New York","210,190","42.91%","66.21%"
"Meade","Kentucky","210,140","42.94%","66.24%"
"Douglas","Missouri","210,128","42.97%","66.27%"
"Rosebud","Montana","210,115","43%","66.3%"
"Pennington","Minnesota","210,108","43.03%","66.32%"
"Allegheny","Pennsylvania","210,007","43.06%","66.35%"
"Red Lake","Minnesota","209,950","43.09%","66.38%"
"Accomack","Virginia","209,848","43.12%","66.41%"
"Washington","Virginia","209,838","43.15%","66.44%"
"Brown","South Dakota","209,718","43.18%","66.47%"
"Grant","South Dakota","209,689","43.21%","66.49%"
"Conejos","Colorado","209,608","43.25%","66.52%"
"Decatur","Indiana","209,587","43.28%","66.55%"
"Stewart","Tennessee","209,323","43.31%","66.58%"
"Baxter","Arkansas","209,320","43.34%","66.61%"
"Henry","Kentucky","209,254","43.37%","66.64%"
"Ionia","Michigan","209,154","43.4%","66.66%"
"Floyd","Georgia","209,099","43.43%","66.69%"
"Clark","Kentucky","209,094","43.46%","66.72%"
"Wyoming","Pennsylvania","209,067","43.49%","66.75%"
"Roseau","Minnesota","208,953","43.52%","66.78%"
"Jackson","Texas","208,864","43.55%","66.8%"
"Hopewell city","Virginia","208,802","43.59%","66.83%"
"Lander","Nevada","208,705","43.62%","66.86%"
"Lonoke","Arkansas","208,651","43.65%","66.89%"
"Wilkes","North Carolina","208,521","43.68%","66.92%"
"Madison","Tennessee","208,499","43.71%","66.95%"
"Franklin","Kansas","208,495","43.74%","66.97%"
"Wayne","Nebraska","208,494","43.77%","67%"
"Gilliam","Oregon","208,485","43.8%","67.03%"
"Newton","Missouri","208,468","43.83%","67.06%"
"Jackson","Kansas","208,417","43.86%","67.09%"
"Cleburne","Alabama","208,374","43.89%","67.11%"
"Scott","Iowa","208,338","43.93%","67.14%"
"East Feliciana Parish","Louisiana","208,161","43.96%","67.17%"
"Juneau","Wisconsin","208,136","43.99%","67.2%"
"Lincoln Parish","Louisiana","208,075","44.02%","67.23%"
"Wabaunsee","Kansas","207,987","44.05%","67.25%"
"Murray","Georgia","207,926","44.08%","67.28%"
"Washington","Pennsylvania","207,834","44.11%","67.31%"
"Putnam","West Virginia","207,757","44.14%","67.34%"
"Kingsbury","South Dakota","207,688","44.17%","67.37%"
"Bates","Missouri","207,682","44.2%","67.39%"
"Jefferson","Alabama","207,590","44.23%","67.42%"
"Marquette","Michigan","207,575","44.27%","67.45%"
"Prince Edward","Virginia","207,526","44.3%","67.48%"
"Mercer","North Dakota","207,502","44.33%","67.51%"
"Nobles","Minnesota","207,264","44.36%","67.53%"
"Lubbock","Texas","207,256","44.39%","67.56%"
"Wood","Ohio","207,047","44.42%","67.59%"
"Humphreys","Tennessee","206,964","44.45%","67.62%"
"Barry","Missouri","206,904","44.48%","67.65%"
"Payne","Oklahoma","206,877","44.51%","67.67%"
"Hutchinson","South Dakota","206,787","44.54%","67.7%"
"Kingfisher","Oklahoma","206,783","44.57%","67.73%"
"Putnam","Florida","206,724","44.61%","67.76%"
"Bourbon","Kentucky","206,596","44.64%","67.79%"
"Marion","Arkansas","206,511","44.67%","67.81%"
"Montgomery","North Carolina","206,490","44.7%","67.84%"
"Oklahoma","Oklahoma","206,467","44.73%","67.87%"
"Daviess","Missouri","206,439","44.76%","67.9%"
"Navarro","Texas","206,409","44.79%","67.92%"
"Putnam","Ohio","206,159","44.82%","67.95%"
"Cedar","Nebraska","206,093","44.85%","67.98%"
"Lyon","Iowa","206,087","44.88%","68.01%"
"Liberty","Georgia","205,944","44.91%","68.04%"
"Rutherford","North Carolina","205,941","44.95%","68.06%"
"Lenawee","Michigan","205,921","44.98%","68.09%"
"Washington","New York","205,840","45.01%","68.12%"
"Victoria","Texas","205,662","45.04%","68.15%"
"Washington","Kentucky","205,638","45.07%","68.17%"
"Webb","Texas","205,579","45.1%","68.2%"
"Marathon","Wisconsin","205,530","45.13%","68.23%"
"Beadle","South Dakota","205,486","45.16%","68.26%"
"Garfield","Washington","205,479","45.19%","68.28%"
"Pierce","Nebraska","205,279","45.22%","68.31%"
"Walker","Georgia","205,052","45.26%","68.34%"
"Harrison","Mississippi","204,942","45.29%","68.37%"
"Ralls","Missouri","204,936","45.32%","68.4%"
"Susquehanna","Pennsylvania","204,841","45.35%","68.42%"
"Clinton","Ohio","204,764","45.38%","68.45%"
"Mills","Texas","204,745","45.41%","68.48%"
"Noble","Indiana","204,665","45.44%","68.51%"
"Shelby","Texas","204,612","45.47%","68.53%"
"McIntosh","Georgia","204,570","45.5%","68.56%"
"Lauderdale","Alabama","204,519","45.53%","68.59%"
"Otoe","Nebraska","204,485","45.56%","68.62%"
"North Slope Borough","Alaska","204,475","45.6%","68.64%"
"Lake","Ohio","204,462","45.63%","68.67%"
"DeKalb","Indiana","204,411","45.66%","68.7%"
"Missaukee","Michigan","204,395","45.69%","68.73%"
"Buckingham","Virginia","204,382","45.72%","68.75%"
"Jo Daviess","Illinois","204,316","45.75%","68.78%"
"Montgomery","Missouri","204,265","45.78%","68.81%"
"Murray","Minnesota","204,049","45.81%","68.84%"
"Garrard","Kentucky","204,016","45.84%","68.86%"
"Linn","Iowa","203,859","45.87%","68.89%"
"Wheeler","Nebraska","203,731","45.9%","68.92%"
"Otero","New Mexico","203,591","45.94%","68.95%"
"Matagorda","Texas","203,547","45.97%","68.97%"
"Jackson","Iowa","203,447","46%","69%"
"Brule","South Dakota","203,416","46.03%","69.03%"
"Peach","Georgia","203,399","46.06%","69.06%"
"Onondaga","New York","203,389","46.09%","69.08%"
"Hancock","Ohio","203,303","46.12%","69.11%"
"Garfield","Montana","203,201","46.15%","69.14%"
"Cocke","Tennessee","203,198","46.18%","69.17%"
"Carbon","Wyoming","203,182","46.21%","69.19%"
"Calhoun","South Carolina","202,894","46.24%","69.22%"
"Costilla","Colorado","202,786","46.28%","69.25%"
"Sullivan","Pennsylvania","202,744","46.31%","69.28%"
"McCurtain","Oklahoma","202,716","46.34%","69.3%"
"El Paso","Texas","202,594","46.37%","69.33%"
"Logan","Ohio","202,564","46.4%","69.36%"
"Boyle","Kentucky","202,541","46.43%","69.38%"
"Washington","Florida","202,505","46.46%","69.41%"
"Schuyler","New York","202,359","46.49%","69.44%"
"Boone","Iowa","202,350","46.52%","69.47%"
"Effingham","Illinois","202,340","46.55%","69.49%"
"Caldwell","North Carolina","202,198","46.58%","69.52%"
"Clearwater","Minnesota","202,069","46.62%","69.55%"
"Bledsoe","Tennessee","201,909","46.65%","69.58%"
"Richland","North Dakota","201,890","46.68%","69.6%"
"Catron","New Mexico","201,873","46.71%","69.63%"
"Benton","Iowa","201,859","46.74%","69.66%"
"Hamilton","Texas","201,823","46.77%","69.68%"
"Chester","South Carolina","201,680","46.8%","69.71%"
"Wells","Indiana","201,613","46.83%","69.74%"
"Adams","Wisconsin","201,506","46.86%","69.77%"
"Laclede","Missouri","201,473","46.89%","69.79%"
"Woodford","Illinois","201,412","46.92%","69.82%"
"Gregg","Texas","201,318","46.96%","69.85%"
"Lawrence","Alabama","201,153","46.99%","69.87%"
"Lafayette","Missouri","201,071","47.02%","69.9%"
"Posey","Indiana","201,046","47.05%","69.93%"
"Shawano","Wisconsin","200,835","47.08%","69.96%"
"Lycoming","Pennsylvania","200,824","47.11%","69.98%"
"Niagara","New York","200,703","47.14%","70.01%"
"Panola","Texas","200,642","47.17%","70.04%"
"Polk","Tennessee","200,635","47.2%","70.06%"
"Hill","Texas","200,583","47.23%","70.09%"
"Laurens","South Carolina","200,506","47.26%","70.12%"
"Fulton","Pennsylvania","200,470","47.3%","70.14%"
"Yadkin","North Carolina","200,428","47.33%","70.17%"
"Keith","Nebraska","200,376","47.36%","70.2%"
"Lake of the Woods","Minnesota","200,228","47.39%","70.23%"
"Montcalm","Michigan","200,210","47.42%","70.25%"
"Ashland","Ohio","200,199","47.45%","70.28%"
"Gaines","Texas","200,163","47.48%","70.31%"
"Mercer","Kentucky","200,086","47.51%","70.33%"
"Dakota","Nebraska","200,085","47.54%","70.36%"
"Spencer","Indiana","199,997","47.57%","70.39%"
"York","Nebraska","199,813","47.6%","70.41%"
"Johnson","Tennessee","199,582","47.64%","70.44%"
"Calhoun","Texas","199,581","47.67%","70.47%"
"Houston","Texas","199,561","47.7%","70.5%"
"Allamakee","Iowa","199,489","47.73%","70.52%"
"Bibb","Alabama","199,450","47.76%","70.55%"
"Lyon","Minnesota","199,268","47.79%","70.58%"
"La Salle","Texas","199,070","47.82%","70.6%"
"Pickett","Tennessee","199,070","47.85%","70.63%"
"Crane","Texas","198,831","47.88%","70.66%"
"Bottineau","North Dakota","198,774","47.91%","70.68%"
"Grant","Minnesota","198,736","47.94%","70.71%"
"Midland","Michigan","198,635","47.98%","70.74%"
"Wilkin","Minnesota","198,600","48.01%","70.76%"
"Iowa","Iowa","198,498","48.04%","70.79%"
"Craighead","Arkansas","198,492","48.07%","70.82%"
"Sanilac","Michigan","198,311","48.1%","70.84%"
"Hardee","Florida","197,981","48.13%","70.87%"
"Lincoln","Wisconsin","197,970","48.16%","70.9%"
"Edmunds","South Dakota","197,796","48.19%","70.92%"
"Cumberland","North Carolina","197,590","48.22%","70.95%"
"Polk","Georgia","197,568","48.25%","70.98%"
"Moniteau","Missouri","197,568","48.28%","71%"
"Tioga","Pennsylvania","197,553","48.32%","71.03%"
"Poweshiek","Iowa","197,532","48.35%","71.06%"
"Chippewa","Minnesota","197,438","48.38%","71.08%"
"Pearl River","Mississippi","197,330","48.41%","71.11%"
"Greene","Tennessee","196,837","48.44%","71.14%"
"Mecosta","Michigan","196,780","48.47%","71.16%"
"Switzerland","Indiana","196,764","48.5%","71.19%"
"Armstrong","Texas","196,632","48.53%","71.22%"
"McKinley","New Mexico","196,414","48.56%","71.24%"
"Franklin","Kentucky","196,406","48.59%","71.27%"
"Daviess","Indiana","196,354","48.62%","71.3%"
"Schoharie","New York","196,216","48.66%","71.32%"
"Lamar","Texas","196,191","48.69%","71.35%"
"St. John the Baptist Parish","Louisiana","196,148","48.72%","71.38%"
"Madison","Florida","196,142","48.75%","71.4%"
"Stevens","Minnesota","196,095","48.78%","71.43%"
"Sabine Parish","Louisiana","196,084","48.81%","71.45%"
"Hardy","West Virginia","196,076","48.84%","71.48%"
"Harrison","Texas","196,051","48.87%","71.51%"
"Lafourche Parish","Louisiana","196,006","48.9%","71.53%"
"Jones","Iowa","196,005","48.93%","71.56%"
"Manitowoc","Wisconsin","195,991","48.96%","71.59%"
"San Augustine","Texas","195,794","49%","71.61%"
"Washington","Iowa","195,700","49.03%","71.64%"
