"county","state","mean_income","cum_county","cum_mean_income"
"LaSalle","Illinois","90,125","32.61%","42.03%"
"Schoharie","New York","90,121","32.64%","42.06%"
"Ransom","North Dakota","90,086","32.67%","42.1%"
"Stevens","Kansas","90,085","32.7%","42.13%"
"Pawnee","Kansas","90,081","32.74%","42.16%"
"Chase","Nebraska","90,078","32.77%","42.19%"
"Lawrence","South Dakota","90,061","32.8%","42.23%"
"Uinta","Wyoming","89,995","32.83%","42.26%"
"Columbia","Washington","89,990","32.86%","42.29%"
"Calhoun","Texas","89,985","32.89%","42.32%"
"Kearny","Kansas","89,951","32.92%","42.36%"
"Orleans Parish","Louisiana","89,943","32.95%","42.39%"
"Polk","Nebraska","89,903","32.98%","42.42%"
"Jackson","Missouri","89,895","33.01%","42.45%"
"Buena Vista","Iowa","89,885","33.04%","42.49%"
"Jackson","Iowa","89,865","33.08%","42.52%"
"Oneida","Wisconsin","89,854","33.11%","42.55%"
"Meade","Kentucky","89,853","33.14%","42.59%"
"Richland","South Carolina","89,852","33.17%","42.62%"
"Benton","Minnesota","89,846","33.2%","42.65%"
"Wayne","New York","89,774","33.23%","42.68%"
"Dolores","Colorado","89,770","33.26%","42.72%"
"Madison","Idaho","89,770","33.29%","42.75%"
"Turner","South Dakota","89,745","33.32%","42.78%"
"Washington","Illinois","89,742","33.35%","42.81%"
"Champaign","Illinois","89,697","33.38%","42.85%"
"Grant","Washington","89,681","33.42%","42.88%"
"Rock","Wisconsin","89,673","33.45%","42.91%"
"Watonwan","Minnesota","89,633","33.48%","42.94%"
"Finney","Kansas","89,602","33.51%","42.98%"
"Clinton","New York","89,583","33.54%","43.01%"
"Cerro Gordo","Iowa","89,519","33.57%","43.04%"
"Putnam","Indiana","89,501","33.6%","43.07%"
"Kit Carson","Colorado","89,493","33.63%","43.11%"
"Warren","Indiana","89,482","33.66%","43.14%"
"Gosper","Nebraska","89,464","33.69%","43.17%"
"Ellis","Kansas","89,458","33.72%","43.2%"
"Boone","Nebraska","89,450","33.76%","43.24%"
"Dubois","Indiana","89,436","33.79%","43.27%"
"Ottawa","Kansas","89,408","33.82%","43.3%"
"Faulk","South Dakota","89,401","33.85%","43.33%"
"Lyon","Iowa","89,389","33.88%","43.37%"
"Lincoln","Minnesota","89,386","33.91%","43.4%"
"Andrew","Missouri","89,386","33.94%","43.43%"
"St. Joseph","Indiana","89,361","33.97%","43.46%"
"Hettinger","North Dakota","89,350","34%","43.49%"
"Moore","Tennessee","89,343","34.03%","43.53%"
"Sierra","California","89,329","34.06%","43.56%"
"Rabun","Georgia","89,324","34.1%","43.59%"
"Trempealeau","Wisconsin","89,298","34.13%","43.62%"
"Morrow","Ohio","89,296","34.16%","43.66%"
"Winona","Minnesota","89,289","34.19%","43.69%"
"Dyer","Tennessee","89,280","34.22%","43.72%"
"Yates","New York","89,265","34.25%","43.75%"
"Vilas","Wisconsin","89,265","34.28%","43.79%"
"Meade","South Dakota","89,185","34.31%","43.82%"
"Kent","Delaware","89,176","34.34%","43.85%"
"Oneida","New York","89,145","34.37%","43.88%"
"Pecos","Texas","89,131","34.4%","43.92%"
"Clallam","Washington","89,116","34.44%","43.95%"
"Peach","Georgia","89,113","34.47%","43.98%"
"Black Hawk","Iowa","89,098","34.5%","44.01%"
"Baker","Florida","89,095","34.53%","44.05%"
"Adair","Iowa","89,076","34.56%","44.08%"
"Hinsdale","Colorado","89,073","34.59%","44.11%"
"Wharton","Texas","89,055","34.62%","44.14%"
"Granville","North Carolina","89,041","34.65%","44.17%"
"White","Georgia","89,020","34.68%","44.21%"
"Stanton","Kansas","89,018","34.71%","44.24%"
"Newton","Georgia","88,991","34.74%","44.27%"
"Dodge","Wisconsin","88,987","34.78%","44.3%"
"Berrien","Michigan","88,982","34.81%","44.34%"
"Bayfield","Wisconsin","88,980","34.84%","44.37%"
"Callaway","Missouri","88,969","34.87%","44.4%"
"Dunn","Wisconsin","88,965","34.9%","44.43%"
"Lonoke","Arkansas","88,961","34.93%","44.46%"
"Aiken","South Carolina","88,922","34.96%","44.5%"
"St. Clair","Michigan","88,904","34.99%","44.53%"
"Worth","Iowa","88,871","35.02%","44.56%"
"Lubbock","Texas","88,862","35.05%","44.59%"
"Canyon","Idaho","88,851","35.09%","44.63%"
"Hamilton","Texas","88,821","35.12%","44.66%"
"Cumberland","Illinois","88,805","35.15%","44.69%"
"Cassia","Idaho","88,788","35.18%","44.72%"
"Cape Girardeau","Missouri","88,767","35.21%","44.75%"
"Clinton","Missouri","88,767","35.24%","44.79%"
"McPherson","Kansas","88,756","35.27%","44.82%"
"Clark","South Dakota","88,749","35.3%","44.85%"
"Nemaha","Nebraska","88,735","35.33%","44.88%"
"Clay","Texas","88,709","35.36%","44.92%"
"Wayne","Ohio","88,657","35.39%","44.95%"
"Clark","Indiana","88,653","35.43%","44.98%"
"Cuming","Nebraska","88,653","35.46%","45.01%"
"Roseau","Minnesota","88,644","35.49%","45.04%"
"Charlotte","Florida","88,575","35.52%","45.08%"
"Slope","North Dakota","88,575","35.55%","45.11%"
"Potter","South Dakota","88,564","35.58%","45.14%"
"Osceola","Florida","88,551","35.61%","45.17%"
"Panola","Texas","88,542","35.64%","45.2%"
"St. Lucie","Florida","88,516","35.67%","45.24%"
"Gregg","Texas","88,513","35.7%","45.27%"
"Hamilton","Iowa","88,499","35.73%","45.3%"
"Hunt","Texas","88,486","35.77%","45.33%"
"Lee","Illinois","88,472","35.8%","45.37%"
"Gallatin","Illinois","88,438","35.83%","45.4%"
"Amherst","Virginia","88,404","35.86%","45.43%"
"Bosque","Texas","88,401","35.89%","45.46%"
"Holt","Nebraska","88,396","35.92%","45.49%"
"Livingston","Illinois","88,369","35.95%","45.53%"
"King and Queen","Virginia","88,368","35.98%","45.56%"
"Karnes","Texas","88,349","36.01%","45.59%"
"Woodbury","Iowa","88,318","36.04%","45.62%"
"Philadelphia","Pennsylvania","88,307","36.07%","45.65%"
"Pierce","Nebraska","88,305","36.11%","45.69%"
"Keweenaw","Michigan","88,295","36.14%","45.72%"
"Stevens","Washington","88,291","36.17%","45.75%"
"Brazos","Texas","88,284","36.2%","45.78%"
"LaPorte","Indiana","88,255","36.23%","45.81%"
"Morrow","Oregon","88,254","36.26%","45.85%"
"Ingham","Michigan","88,247","36.29%","45.88%"
"Shelby","Indiana","88,245","36.32%","45.91%"
"Caledonia","Vermont","88,223","36.35%","45.94%"
"Anderson","Kentucky","88,199","36.38%","45.97%"
"Nueces","Texas","88,191","36.41%","46.01%"
"Jones","Georgia","88,177","36.45%","46.04%"
"Yavapai","Arizona","88,175","36.48%","46.07%"
"Montgomery","Tennessee","88,167","36.51%","46.1%"
"Oswego","New York","88,158","36.54%","46.13%"
"Boise","Idaho","88,157","36.57%","46.17%"
"Adams","Idaho","88,154","36.6%","46.2%"
"Victoria","Texas","88,149","36.63%","46.23%"
"Red Lake","Minnesota","88,135","36.66%","46.26%"
"Madison","Nebraska","88,101","36.69%","46.29%"
"McLennan","Texas","88,079","36.72%","46.33%"
"Moultrie","Illinois","88,053","36.75%","46.36%"
"Norfolk city","Virginia","88,032","36.79%","46.39%"
"Escambia","Florida","88,025","36.82%","46.42%"
"Custer","Nebraska","88,008","36.85%","46.45%"
"Green Lake","Wisconsin","87,958","36.88%","46.49%"
"Butte","South Dakota","87,955","36.91%","46.52%"
"DeKalb","Illinois","87,946","36.94%","46.55%"
"Brookings","South Dakota","87,946","36.97%","46.58%"
"Oconee","South Carolina","87,937","37%","46.61%"
"Warren","Kentucky","87,897","37.03%","46.64%"
"Jerome","Idaho","87,894","37.06%","46.68%"
"Spencer","Indiana","87,894","37.09%","46.71%"
"Bell","Texas","87,878","37.13%","46.74%"
"Beltrami","Minnesota","87,814","37.16%","46.77%"
"Linn","Oregon","87,810","37.19%","46.8%"
"Ripley","Indiana","87,796","37.22%","46.84%"
"Mercer","Illinois","87,773","37.25%","46.87%"
"Catawba","North Carolina","87,768","37.28%","46.9%"
"Wright","Iowa","87,764","37.31%","46.93%"
"Adams","Nebraska","87,748","37.34%","46.96%"
"Stafford","Kansas","87,716","37.37%","46.99%"
"Jack","Texas","87,701","37.4%","47.03%"
"Monroe","Indiana","87,694","37.43%","47.06%"
"Craig","Virginia","87,694","37.47%","47.09%"
"Muscatine","Iowa","87,676","37.5%","47.12%"
"Tom Green","Texas","87,666","37.53%","47.15%"
"Parmer","Texas","87,645","37.56%","47.19%"
"Douglas","Illinois","87,643","37.59%","47.22%"
"Lincoln","Nevada","87,631","37.62%","47.25%"
"Jefferson","Tennessee","87,614","37.65%","47.28%"
"Nelson","North Dakota","87,612","37.68%","47.31%"
"Jackson","Minnesota","87,597","37.71%","47.34%"
"Norman","Minnesota","87,596","37.74%","47.38%"
"Rutland","Vermont","87,595","37.77%","47.41%"
"Carroll","Georgia","87,579","37.81%","47.44%"
"Person","North Carolina","87,568","37.84%","47.47%"
"Gaston","North Carolina","87,551","37.87%","47.5%"
"Judith Basin","Montana","87,541","37.9%","47.54%"
"Camden","Missouri","87,539","37.93%","47.57%"
"Hall","Nebraska","87,509","37.96%","47.6%"
"San Patricio","Texas","87,501","37.99%","47.63%"
"Lake","Minnesota","87,480","38.02%","47.66%"
"Haskell","Kansas","87,442","38.05%","47.69%"
"Gem","Idaho","87,429","38.08%","47.73%"
"Rich","Utah","87,420","38.11%","47.76%"
"Franklin","North Carolina","87,392","38.15%","47.79%"
"Banner","Nebraska","87,378","38.18%","47.82%"
"Arthur","Nebraska","87,350","38.21%","47.85%"
"Baltimore city","Maryland","87,339","38.24%","47.88%"
"Lamar","Georgia","87,323","38.27%","47.92%"
"Tipton","Tennessee","87,322","38.3%","47.95%"
"Morrison","Minnesota","87,320","38.33%","47.98%"
"Pipestone","Minnesota","87,296","38.36%","48.01%"
"Aransas","Texas","87,292","38.39%","48.04%"
"Hyde","South Dakota","87,286","38.42%","48.07%"
"Newport News city","Virginia","87,285","38.45%","48.11%"
"Marion","Indiana","87,280","38.49%","48.14%"
"Kanabec","Minnesota","87,243","38.52%","48.17%"
"Volusia","Florida","87,233","38.55%","48.2%"
"Caldwell","Texas","87,208","38.58%","48.23%"
"Polk","Minnesota","87,199","38.61%","48.26%"
"Caroline","Maryland","87,193","38.64%","48.3%"
"Carlisle","Kentucky","87,185","38.67%","48.33%"
"Taylor","Texas","87,167","38.7%","48.36%"
"Chickasaw","Iowa","87,139","38.73%","48.39%"
"Merced","California","87,129","38.76%","48.42%"
"Champaign","Ohio","87,101","38.79%","48.45%"
"Defiance","Ohio","87,099","38.83%","48.49%"
"Niagara","New York","87,095","38.86%","48.52%"
"Mille Lacs","Minnesota","87,091","38.89%","48.55%"
"Howard","Nebraska","87,091","38.92%","48.58%"
"Shawnee","Kansas","87,070","38.95%","48.61%"
"Towns","Georgia","87,056","38.98%","48.64%"
"Kittson","Minnesota","87,046","39.01%","48.67%"
"Lackawanna","Pennsylvania","87,019","39.04%","48.71%"
"Avery","North Carolina","87,001","39.07%","48.74%"
"Mason","Texas","86,998","39.1%","48.77%"
"Gilchrist","Florida","86,992","39.13%","48.8%"
"Mineral","West Virginia","86,991","39.17%","48.83%"
"Pacific","Washington","86,985","39.2%","48.86%"
"Anderson","South Carolina","86,976","39.23%","48.9%"
"Vernon","Wisconsin","86,971","39.26%","48.93%"
"Schleicher","Texas","86,955","39.29%","48.96%"
"Walsh","North Dakota","86,952","39.32%","48.99%"
"Washington","Oklahoma","86,952","39.35%","49.02%"
"Craven","North Carolina","86,928","39.38%","49.05%"
"Washington","New York","86,922","39.41%","49.08%"
"Lynn","Texas","86,918","39.44%","49.12%"
"Montrose","Colorado","86,915","39.47%","49.15%"
"McLean","Kentucky","86,894","39.51%","49.18%"
"Aleutians East Borough","Alaska","86,888","39.54%","49.21%"
"Kimble","Texas","86,848","39.57%","49.24%"
"Lafayette","Wisconsin","86,841","39.6%","49.27%"
"Kershaw","South Carolina","86,839","39.63%","49.31%"
"Winchester city","Virginia","86,816","39.66%","49.34%"
"Poweshiek","Iowa","86,811","39.69%","49.37%"
"San Juan","Colorado","86,808","39.72%","49.4%"
"Woodward","Oklahoma","86,804","39.75%","49.43%"
"Douglas","Wisconsin","86,804","39.78%","49.46%"
"Dawson","Nebraska","86,799","39.81%","49.49%"
"Jackson","Michigan","86,795","39.85%","49.53%"
"Newton","Missouri","86,775","39.88%","49.56%"
"Wood","Wisconsin","86,752","39.91%","49.59%"
"Humboldt","California","86,742","39.94%","49.62%"
"Seneca","New York","86,730","39.97%","49.65%"
"Manitowoc","Wisconsin","86,730","40%","49.68%"
"Elkhart","Indiana","86,727","40.03%","49.71%"
"Lee","Alabama","86,713","40.06%","49.75%"
"Erath","Texas","86,705","40.09%","49.78%"
"Calhoun","Iowa","86,678","40.12%","49.81%"
"Harvey","Kansas","86,664","40.15%","49.84%"
"Hopkins","Texas","86,649","40.19%","49.87%"
"Ohio","West Virginia","86,627","40.22%","49.9%"
"Twin Falls","Idaho","86,618","40.25%","49.93%"
"Jones","Iowa","86,601","40.28%","49.97%"
"Shenandoah","Virginia","86,594","40.31%","50%"
"Steuben","New York","86,589","40.34%","50.03%"
"Daviess","Kentucky","86,574","40.37%","50.06%"
"Cayuga","New York","86,559","40.4%","50.09%"
"Lewis","Washington","86,552","40.43%","50.12%"
"Renville","Minnesota","86,499","40.46%","50.15%"
"Surry","Virginia","86,472","40.49%","50.19%"
"Valley","Nebraska","86,425","40.53%","50.22%"
"Waldo","Maine","86,416","40.56%","50.25%"
"Wells","Indiana","86,401","40.59%","50.28%"
"Mariposa","California","86,394","40.62%","50.31%"
"Umatilla","Oregon","86,384","40.65%","50.34%"
"Humboldt","Iowa","86,372","40.68%","50.37%"
"Carroll","Iowa","86,355","40.71%","50.4%"
"Latah","Idaho","86,327","40.74%","50.44%"
"Kent","Texas","86,324","40.77%","50.47%"
"Sevier","Utah","86,316","40.8%","50.5%"
"Iron","Utah","86,314","40.83%","50.53%"
"Cheyenne","Colorado","86,295","40.87%","50.56%"
"Roane","Tennessee","86,288","40.9%","50.59%"
"Haralson","Georgia","86,278","40.93%","50.62%"
"Clark","Wisconsin","86,275","40.96%","50.66%"
"Lake","California","86,272","40.99%","50.69%"
"Kings","California","86,268","41.02%","50.72%"
"Genesee","New York","86,260","41.05%","50.75%"
"Hodgeman","Kansas","86,249","41.08%","50.78%"
"Del Norte","California","86,246","41.11%","50.81%"
"Transylvania","North Carolina","86,211","41.14%","50.84%"
"Day","South Dakota","86,182","41.17%","50.87%"
"Rio Grande","Colorado","86,169","41.21%","50.91%"
"DeWitt","Texas","86,159","41.24%","50.94%"
"Glenn","California","86,148","41.27%","50.97%"
"Cass","Minnesota","86,129","41.3%","51%"
"Snyder","Pennsylvania","86,097","41.33%","51.03%"
"Montgomery","Ohio","86,066","41.36%","51.06%"
"Lee","Mississippi","86,064","41.39%","51.09%"
"Scott","Illinois","86,063","41.42%","51.12%"
"Hancock","Iowa","86,063","41.45%","51.16%"
"Scotland","Missouri","86,058","41.48%","51.19%"
"Milwaukee","Wisconsin","86,052","41.51%","51.22%"
"Coffey","Kansas","86,049","41.55%","51.25%"
"Morgan","Alabama","86,044","41.58%","51.28%"
"Daviess","Indiana","85,989","41.61%","51.31%"
"Fannin","Georgia","85,986","41.64%","51.34%"
"Macoupin","Illinois","85,962","41.67%","51.37%"
"Wabaunsee","Kansas","85,958","41.7%","51.4%"
"Murray","Oklahoma","85,918","41.73%","51.44%"
"Brown","Ohio","85,915","41.76%","51.47%"
"Faulkner","Arkansas","85,913","41.79%","51.5%"
"Paulding","Ohio","85,900","41.82%","51.53%"
"Barron","Wisconsin","85,894","41.85%","51.56%"
"Carbon","Pennsylvania","85,885","41.89%","51.59%"
"Lake of the Woods","Minnesota","85,860","41.92%","51.62%"
"Sanborn","South Dakota","85,845","41.95%","51.65%"
"Grand","Utah","85,833","41.98%","51.69%"
"Noble","Oklahoma","85,810","42.01%","51.72%"
"Androscoggin","Maine","85,807","42.04%","51.75%"
"Polk","North Carolina","85,807","42.07%","51.78%"
"Koochiching","Minnesota","85,803","42.1%","51.81%"
"Northampton","Virginia","85,776","42.13%","51.84%"
"Hampton city","Virginia","85,775","42.16%","51.87%"
"Ste. Genevieve","Missouri","85,768","42.19%","51.9%"
"Wayne","Iowa","85,767","42.23%","51.93%"
"Baldwin","Georgia","85,755","42.26%","51.97%"
"Haakon","South Dakota","85,748","42.29%","52%"
"Itasca","Minnesota","85,747","42.32%","52.03%"
"Traverse","Minnesota","85,746","42.35%","52.06%"
"Clarke","Iowa","85,744","42.38%","52.09%"
"Wood","Texas","85,733","42.41%","52.12%"
"Madison","Montana","85,732","42.44%","52.15%"
"Washington","Tennessee","85,716","42.47%","52.18%"
"Crawford","Illinois","85,713","42.5%","52.21%"
"Jackson","Kansas","85,712","42.53%","52.25%"
"Sebastian","Arkansas","85,707","42.57%","52.28%"
"Lavaca","Texas","85,705","42.6%","52.31%"
"Smith","Tennessee","85,700","42.63%","52.34%"
"Minidoka","Idaho","85,696","42.66%","52.37%"
"Cascade","Montana","85,695","42.69%","52.4%"
"Jackson","Mississippi","85,693","42.72%","52.43%"
"Noble","Indiana","85,659","42.75%","52.46%"
"Beauregard Parish","Louisiana","85,624","42.78%","52.49%"
"Marshall","Indiana","85,610","42.81%","52.52%"
"Doniphan","Kansas","85,580","42.84%","52.56%"
"Whitfield","Georgia","85,577","42.87%","52.59%"
"Mitchell","Texas","85,561","42.91%","52.62%"
"Williamson","Illinois","85,557","42.94%","52.65%"
"McCone","Montana","85,543","42.97%","52.68%"
"Shawano","Wisconsin","85,534","43%","52.71%"
"Preble","Ohio","85,527","43.03%","52.74%"
"Yakima","Washington","85,476","43.06%","52.77%"
"Perkins","Nebraska","85,470","43.09%","52.8%"
"Gasconade","Missouri","85,449","43.12%","52.83%"
"Morgan","Colorado","85,441","43.15%","52.87%"
"Garfield","Oklahoma","85,427","43.18%","52.9%"
"Dodge","Nebraska","85,422","43.21%","52.93%"
"Henderson","Texas","85,410","43.25%","52.96%"
"Young","Texas","85,404","43.28%","52.99%"
"Emmons","North Dakota","85,402","43.31%","53.02%"
"Marshall","Minnesota","85,400","43.34%","53.05%"
"Hamilton","Illinois","85,365","43.37%","53.08%"
"Rockbridge","Virginia","85,339","43.4%","53.11%"
"Scurry","Texas","85,314","43.43%","53.14%"
"Taos","New Mexico","85,295","43.46%","53.18%"
"Bureau","Illinois","85,291","43.49%","53.21%"
"Crook","Wyoming","85,290","43.52%","53.24%"
"Morgan","Illinois","85,288","43.55%","53.27%"
"Kennebec","Maine","85,256","43.59%","53.3%"
"Crawford","Georgia","85,248","43.62%","53.33%"
"Marion","Kansas","85,216","43.65%","53.36%"
"Yuma","Colorado","85,202","43.68%","53.39%"
"Camden","Georgia","85,169","43.71%","53.42%"
"Terrebonne Parish","Louisiana","85,147","43.74%","53.45%"
"Dakota","Nebraska","85,144","43.77%","53.48%"
"Anderson","Tennessee","85,124","43.8%","53.52%"
"Nelson","Kentucky","85,121","43.83%","53.55%"
"Franklin","Kansas","85,098","43.86%","53.58%"
"Spartanburg","South Carolina","85,090","43.89%","53.61%"
"Floyd","Georgia","85,081","43.93%","53.64%"
"Tuscaloosa","Alabama","85,068","43.96%","53.67%"
"DeKalb","Indiana","85,064","43.99%","53.7%"
"Ford","Kansas","85,037","44.02%","53.73%"
"Walworth","South Dakota","85,035","44.05%","53.76%"
"Sheridan","North Dakota","85,025","44.08%","53.79%"
"Monroe","Wisconsin","85,024","44.11%","53.82%"
"Jackson","Indiana","85,011","44.14%","53.85%"
"Clinton","Iowa","85,010","44.17%","53.89%"
"Whiteside","Illinois","84,990","44.2%","53.92%"
"Reagan","Texas","84,980","44.23%","53.95%"
"Moffat","Colorado","84,978","44.27%","53.98%"
"Mills","Texas","84,978","44.3%","54.01%"
"Winnebago","Iowa","84,968","44.33%","54.04%"
"Coryell","Texas","84,950","44.36%","54.07%"
"Broadwater","Montana","84,945","44.39%","54.1%"
"Stark","Ohio","84,919","44.42%","54.13%"
"Sabine","Texas","84,919","44.45%","54.16%"
"Keya Paha","Nebraska","84,909","44.48%","54.19%"
"Jackson","Texas","84,901","44.51%","54.22%"
"Swift","Minnesota","84,897","44.54%","54.26%"
"Gilmer","Georgia","84,887","44.57%","54.29%"
"Horry","South Carolina","84,884","44.61%","54.32%"
"Upshur","Texas","84,875","44.64%","54.35%"
"Lake","Montana","84,874","44.67%","54.38%"
"Pershing","Nevada","84,862","44.7%","54.41%"
"Albany","Wyoming","84,861","44.73%","54.44%"
"Penobscot","Maine","84,825","44.76%","54.47%"
"Cumberland","Virginia","84,793","44.79%","54.5%"
"Mahaska","Iowa","84,768","44.82%","54.53%"
"Westmoreland","Virginia","84,744","44.85%","54.56%"
"Hutchinson","Texas","84,741","44.88%","54.59%"
"Sanpete","Utah","84,735","44.91%","54.62%"
"Pierce","North Dakota","84,732","44.95%","54.66%"
"Heard","Georgia","84,725","44.98%","54.69%"
"Brown","Minnesota","84,690","45.01%","54.72%"
"Major","Oklahoma","84,659","45.04%","54.75%"
"Bradford","Pennsylvania","84,646","45.07%","54.78%"
"Lucas","Ohio","84,633","45.1%","54.81%"
"Edgefield","South Carolina","84,628","45.13%","54.84%"
"Tillamook","Oregon","84,601","45.16%","54.87%"
"Butler","Iowa","84,585","45.19%","54.9%"
"Gordon","Georgia","84,572","45.22%","54.93%"
"Marshall","Iowa","84,571","45.26%","54.96%"
"Clinton","Ohio","84,570","45.29%","54.99%"
"Greenlee","Arizona","84,558","45.32%","55.02%"
"Jefferson","Texas","84,558","45.35%","55.05%"
"Ionia","Michigan","84,553","45.38%","55.08%"
"Jefferson","New York","84,530","45.41%","55.12%"
"Martin","Minnesota","84,513","45.44%","55.15%"
"Osceola","Iowa","84,494","45.47%","55.18%"
"Winnebago","Illinois","84,470","45.5%","55.21%"
"Allamakee","Iowa","84,448","45.53%","55.24%"
"Bond","Illinois","84,409","45.56%","55.27%"
"Palo Alto","Iowa","84,394","45.6%","55.3%"
"Broome","New York","84,379","45.63%","55.33%"
"Codington","South Dakota","84,357","45.66%","55.36%"
"Johnson","Wyoming","84,353","45.69%","55.39%"
"Jasper","Georgia","84,289","45.72%","55.42%"
"Wyoming","New York","84,287","45.75%","55.45%"
"Wilkin","Minnesota","84,280","45.78%","55.48%"
"Bath","Virginia","84,279","45.81%","55.51%"
"Habersham","Georgia","84,261","45.84%","55.54%"
"Oglethorpe","Georgia","84,257","45.87%","55.57%"
"Webster","Nebraska","84,246","45.9%","55.61%"
"Tama","Iowa","84,210","45.94%","55.64%"
"Herkimer","New York","84,205","45.97%","55.67%"
"Dawson","Montana","84,201","46%","55.7%"
"Harnett","North Carolina","84,184","46.03%","55.73%"
"Big Stone","Minnesota","84,183","46.06%","55.76%"
"Otsego","Michigan","84,167","46.09%","55.79%"
"Curry","Oregon","84,162","46.12%","55.82%"
"Prowers","Colorado","84,132","46.15%","55.85%"
"Lincoln","Tennessee","84,108","46.18%","55.88%"
"Liberty","Texas","84,108","46.21%","55.91%"
"Miner","South Dakota","84,107","46.24%","55.94%"
"Wallowa","Oregon","84,099","46.28%","55.97%"
"Rock","Nebraska","84,098","46.31%","56%"
"Sevier","Tennessee","84,059","46.34%","56.03%"
"Polk","Florida","84,031","46.37%","56.06%"
"Howard","Iowa","84,023","46.4%","56.09%"
"Ochiltree","Texas","84,014","46.43%","56.12%"
"Wichita","Texas","83,994","46.46%","56.15%"
"Clark","Kansas","83,979","46.49%","56.18%"
"Custer","Montana","83,970","46.52%","56.22%"
"Crawford","Iowa","83,966","46.55%","56.25%"
"Montgomery","Indiana","83,964","46.58%","56.28%"
"Orleans","Vermont","83,959","46.62%","56.31%"
"Hancock","Illinois","83,931","46.65%","56.34%"
"Fulton","Pennsylvania","83,930","46.68%","56.37%"
"Lycoming","Pennsylvania","83,918","46.71%","56.4%"
"Southampton","Virginia","83,914","46.74%","56.43%"
"Wayne","Michigan","83,852","46.77%","56.46%"
"Montgomery","Iowa","83,851","46.8%","56.49%"
"Dade","Georgia","83,822","46.83%","56.52%"
"Pend Oreille","Washington","83,822","46.86%","56.55%"
"Emery","Utah","83,815","46.89%","56.58%"
"Chemung","New York","83,801","46.92%","56.61%"
"Cherokee","Iowa","83,796","46.96%","56.64%"
"Red Willow","Nebraska","83,794","46.99%","56.67%"
"Macon","Illinois","83,784","47.02%","56.7%"
"Lincoln","Wisconsin","83,765","47.05%","56.73%"
"Schuyler","New York","83,763","47.08%","56.76%"
"Thomas","Nebraska","83,742","47.11%","56.79%"
"Wibaux","Montana","83,737","47.14%","56.82%"
"De Witt","Illinois","83,717","47.17%","56.85%"
"Mineral","Montana","83,707","47.2%","56.88%"
"Lenawee","Michigan","83,678","47.23%","56.91%"
"Rock Island","Illinois","83,668","47.26%","56.94%"
"Nobles","Minnesota","83,658","47.3%","56.98%"
"Giles","Tennessee","83,628","47.33%","57.01%"
"Carroll","Indiana","83,615","47.36%","57.04%"
"Wheeler","Nebraska","83,605","47.39%","57.07%"
"Garfield","Montana","83,601","47.42%","57.1%"
"Floyd","Iowa","83,597","47.45%","57.13%"
"Palo Pinto","Texas","83,595","47.48%","57.16%"
"Kossuth","Iowa","83,589","47.51%","57.19%"
"Clay","Iowa","83,566","47.54%","57.22%"
"Adams","Illinois","83,547","47.57%","57.25%"
"Atascosa","Texas","83,533","47.6%","57.28%"
"Sheridan","Nebraska","83,528","47.64%","57.31%"
"Dickinson","Kansas","83,526","47.67%","57.34%"
"Buena Vista city","Virginia","83,522","47.7%","57.37%"
"Gibson","Indiana","83,521","47.73%","57.4%"
"Ellsworth","Kansas","83,519","47.76%","57.43%"
"Chippewa","Minnesota","83,510","47.79%","57.46%"
"Cottonwood","Minnesota","83,505","47.82%","57.49%"
"Lincoln","Oregon","83,483","47.85%","57.52%"
"Taylor","Iowa","83,448","47.88%","57.55%"
"Marshall","Illinois","83,438","47.91%","57.58%"
"Franklin","Nebraska","83,438","47.94%","57.61%"
"Huerfano","Colorado","83,426","47.98%","57.64%"
"Bannock","Idaho","83,414","48.01%","57.67%"
"Brown","Illinois","83,413","48.04%","57.7%"
"Carbon","Wyoming","83,412","48.07%","57.73%"
"Marshall","Kansas","83,404","48.1%","57.76%"
"Union","Oregon","83,393","48.13%","57.79%"
"Lyon","Kentucky","83,313","48.16%","57.82%"
"Faribault","Minnesota","83,306","48.19%","57.85%"
"Haines Borough","Alaska","83,299","48.22%","57.88%"
"Blaine","Nebraska","83,284","48.25%","57.91%"
"Howard","Missouri","83,267","48.28%","57.94%"
"Hoonah-Angoon Census Area","Alaska","83,266","48.32%","57.97%"
"Harrison","Texas","83,262","48.35%","58%"
"Ballard","Kentucky","83,257","48.38%","58.03%"
"Union","Florida","83,228","48.41%","58.06%"
"Lafourche Parish","Louisiana","83,215","48.44%","58.09%"
"Wyandot","Ohio","83,211","48.47%","58.13%"
"Webster","Missouri","83,200","48.5%","58.16%"
"Milam","Texas","83,189","48.53%","58.19%"
"Clark","Illinois","83,186","48.56%","58.22%"
"Logan","Illinois","83,185","48.59%","58.25%"
"Scott","Kansas","83,157","48.62%","58.28%"
"Darke","Ohio","83,137","48.66%","58.31%"
"Pratt","Kansas","83,123","48.69%","58.34%"
"Stephens","Oklahoma","83,122","48.72%","58.37%"
"Josephine","Oregon","83,119","48.75%","58.4%"
"Sussex","Virginia","83,114","48.78%","58.43%"
"Armstrong","Texas","83,081","48.81%","58.46%"
"Benson","North Dakota","83,060","48.84%","58.49%"
"Benton","Indiana","83,038","48.87%","58.52%"
"Floyd","Texas","83,028","48.9%","58.55%"
"Cortland","New York","82,947","48.93%","58.58%"
"Schuylkill","Pennsylvania","82,922","48.96%","58.61%"
"Orleans","New York","82,918","49%","58.64%"
"Webster","Iowa","82,910","49.03%","58.67%"
