"county","state","household_count","cum_county","cum_population"
"Henry","Indiana","18,460","32.46%","88.17%"
"Henderson","Kentucky","18,458","32.49%","88.19%"
"McDowell","North Carolina","18,445","32.52%","88.2%"
"Cherokee","Oklahoma","18,403","32.55%","88.22%"
"Thomas","Georgia","18,369","32.58%","88.23%"
"Lincoln Parish","Louisiana","18,341","32.61%","88.24%"
"Crittenden","Arkansas","18,338","32.64%","88.26%"
"Maverick","Texas","18,320","32.67%","88.27%"
"Monroe","Wisconsin","18,279","32.7%","88.29%"
"Bryan","Oklahoma","18,234","32.74%","88.3%"
"Perry","Pennsylvania","18,232","32.77%","88.32%"
"Wood","Texas","18,221","32.8%","88.33%"
"Jefferson","Pennsylvania","18,207","32.83%","88.34%"
"Greene","New York","18,188","32.86%","88.36%"
"Cabo Rojo Municipio","Puerto Rico","18,172","32.89%","88.37%"
"Hopkins","Kentucky","18,169","32.92%","88.39%"
"Jackson","North Carolina","18,164","32.95%","88.4%"
"Shelby","Indiana","18,145","32.98%","88.41%"
"Laurens","Georgia","18,133","33.01%","88.43%"
"Ohio","West Virginia","18,132","33.04%","88.44%"
"Crawford","Ohio","18,120","33.08%","88.46%"
"Clatsop","Oregon","18,095","33.11%","88.47%"
"Ottawa","Ohio","18,091","33.14%","88.49%"
"Macon","North Carolina","18,090","33.17%","88.5%"
"Cherokee","Texas","18,085","33.2%","88.51%"
"Waller","Texas","17,981","33.23%","88.53%"
"Knox","Maine","17,979","33.26%","88.54%"
"Levy","Florida","17,976","33.29%","88.56%"
"Barren","Kentucky","17,972","33.32%","88.57%"
"Noble","Indiana","17,971","33.35%","88.58%"
"Rusk","Texas","17,963","33.38%","88.6%"
"Whitman","Washington","17,952","33.42%","88.61%"
"Greene","Arkansas","17,926","33.45%","88.62%"
"Beltrami","Minnesota","17,908","33.48%","88.64%"
"Calaveras","California","17,897","33.51%","88.65%"
"Campbell","Wyoming","17,879","33.54%","88.67%"
"Hillsdale","Michigan","17,858","33.57%","88.68%"
"Shelby","Kentucky","17,850","33.6%","88.69%"
"Wilson","Texas","17,785","33.63%","88.71%"
"Shenandoah","Virginia","17,782","33.66%","88.72%"
"Vernon Parish","Louisiana","17,754","33.69%","88.74%"
"Jackson","Indiana","17,745","33.72%","88.75%"
"Le Flore","Oklahoma","17,740","33.76%","88.76%"
"Fremont","Colorado","17,695","33.79%","88.78%"
"Washington Parish","Louisiana","17,651","33.82%","88.79%"
"Pittsburg","Oklahoma","17,649","33.85%","88.8%"
"Phelps","Missouri","17,644","33.88%","88.82%"
"Dubois","Indiana","17,588","33.91%","88.83%"
"Chilton","Alabama","17,554","33.94%","88.85%"
"Logan","Oklahoma","17,536","33.97%","88.86%"
"Montrose","Colorado","17,529","34%","88.87%"
"Medina","Texas","17,479","34.03%","88.89%"
"Waldo","Maine","17,476","34.06%","88.9%"
"Sanilac","Michigan","17,451","34.1%","88.91%"
"Kandiyohi","Minnesota","17,450","34.13%","88.93%"
"Macoupin","Illinois","17,431","34.16%","88.94%"
"Douglas","Minnesota","17,416","34.19%","88.95%"
"Chesterfield","South Carolina","17,381","34.22%","88.97%"
"Marshall","Indiana","17,377","34.25%","88.98%"
"Dunn","Wisconsin","17,369","34.28%","88.99%"
"Harrisonburg city","Virginia","17,331","34.31%","89.01%"
"Nez Perce","Idaho","17,250","34.34%","89.02%"
"Kendall","Texas","17,249","34.37%","89.03%"
"Stephens","Oklahoma","17,228","34.4%","89.05%"
"Washington","Mississippi","17,227","34.44%","89.06%"
"Okanogan","Washington","17,208","34.47%","89.07%"
"Des Moines","Iowa","17,188","34.5%","89.09%"
"Muscatine","Iowa","17,170","34.53%","89.1%"
"Camden","Missouri","17,170","34.56%","89.11%"
"Brown","Ohio","17,145","34.59%","89.13%"
"Anderson","Texas","17,142","34.62%","89.14%"
"Franklin","Tennessee","17,097","34.65%","89.15%"
"Osage","Oklahoma","17,074","34.68%","89.17%"
"Allegany","New York","17,057","34.71%","89.18%"
"Jackson","Florida","17,038","34.74%","89.19%"
"DeKalb","Indiana","17,008","34.78%","89.21%"
"Pettis","Missouri","16,937","34.81%","89.22%"
"Delaware","Oklahoma","16,930","34.84%","89.23%"
"Branch","Michigan","16,922","34.87%","89.25%"
"Fulton","Ohio","16,881","34.9%","89.26%"
"Shawano","Wisconsin","16,881","34.93%","89.27%"
"Davie","North Carolina","16,873","34.96%","89.29%"
"Richmond","North Carolina","16,863","34.99%","89.3%"
"Sweetwater","Wyoming","16,863","35.02%","89.31%"
"Santa Cruz","Arizona","16,816","35.05%","89.33%"
"Warren","Mississippi","16,816","35.09%","89.34%"
"Highland","Ohio","16,814","35.12%","89.35%"
"Colquitt","Georgia","16,807","35.15%","89.37%"
"Oneida","Wisconsin","16,772","35.18%","89.38%"
"Preble","Ohio","16,742","35.21%","89.39%"
"Fayette","Tennessee","16,730","35.24%","89.4%"
"Kay","Oklahoma","16,716","35.27%","89.42%"
"Campbell","Tennessee","16,709","35.3%","89.43%"
"Val Verde","Texas","16,706","35.33%","89.44%"
"Lawrence","Tennessee","16,704","35.36%","89.46%"
"Tioga","Pennsylvania","16,639","35.39%","89.47%"
"Atascosa","Texas","16,635","35.43%","89.48%"
"Oconto","Wisconsin","16,618","35.46%","89.49%"
"Albany","Wyoming","16,609","35.49%","89.51%"
"Chambers","Texas","16,558","35.52%","89.52%"
"Tallapoosa","Alabama","16,548","35.55%","89.53%"
"Clinton","Ohio","16,534","35.58%","89.55%"
"Cayey Municipio","Puerto Rico","16,534","35.61%","89.56%"
"Benton","Minnesota","16,494","35.64%","89.57%"
"Butler","Missouri","16,490","35.67%","89.58%"
"Gadsden","Florida","16,485","35.7%","89.6%"
"Dare","North Carolina","16,483","35.73%","89.61%"
"Pulaski","Missouri","16,434","35.77%","89.62%"
"Río Grande Municipio","Puerto Rico","16,396","35.8%","89.64%"
"Erath","Texas","16,379","35.83%","89.65%"
"Brown","South Dakota","16,364","35.86%","89.66%"
"Mecosta","Michigan","16,312","35.89%","89.67%"
"Miller","Arkansas","16,311","35.92%","89.69%"
"Mercer","Ohio","16,278","35.95%","89.7%"
"Warren","Pennsylvania","16,271","35.98%","89.71%"
"Wyoming","New York","16,263","36.01%","89.72%"
"Cooke","Texas","16,252","36.04%","89.74%"
"Guernsey","Ohio","16,247","36.07%","89.75%"
"Talbot","Maryland","16,211","36.11%","89.76%"
"Person","North Carolina","16,211","36.14%","89.78%"
"Orleans","New York","16,208","36.17%","89.79%"
"McKean","Pennsylvania","16,204","36.2%","89.8%"
"Callaway","Missouri","16,203","36.23%","89.81%"
"Lincoln","Maine","16,201","36.26%","89.83%"
"Sagadahoc","Maine","16,175","36.29%","89.84%"
"Jefferson","Washington","16,156","36.32%","89.85%"
"Warren","Tennessee","16,132","36.35%","89.86%"
"Franklin","Illinois","16,130","36.38%","89.88%"
"Fayette","West Virginia","16,109","36.41%","89.89%"
"Vance","North Carolina","16,081","36.45%","89.9%"
"Sullivan","New Hampshire","16,079","36.48%","89.91%"
"Baldwin","Georgia","16,075","36.51%","89.93%"
"Amador","California","16,066","36.54%","89.94%"
"Latah","Idaho","16,058","36.57%","89.95%"
"Habersham","Georgia","16,048","36.6%","89.96%"
"Essex","New York","16,039","36.63%","89.98%"
"Huntingdon","Pennsylvania","16,038","36.66%","89.99%"
"McClain","Oklahoma","16,025","36.69%","90%"
"Bingham","Idaho","16,009","36.72%","90.01%"
"Howell","Missouri","15,997","36.75%","90.03%"
"Colleton","South Carolina","15,968","36.79%","90.04%"
"Tazewell","Virginia","15,951","36.82%","90.05%"
"Cheatham","Tennessee","15,908","36.85%","90.06%"
"Delta","Michigan","15,900","36.88%","90.07%"
"Crawford","Kansas","15,897","36.91%","90.09%"
"Isanti","Minnesota","15,875","36.94%","90.1%"
"Bryan","Georgia","15,821","36.97%","90.11%"
"St. Bernard Parish","Louisiana","15,803","37%","90.12%"
"Pierce","Wisconsin","15,765","37.03%","90.14%"
"Caldwell","Texas","15,741","37.06%","90.15%"
"Juana Díaz Municipio","Puerto Rico","15,712","37.09%","90.16%"
"Douglas","Washington","15,708","37.13%","90.17%"
"Webster","Iowa","15,641","37.16%","90.18%"
"Susquehanna","Pennsylvania","15,639","37.19%","90.2%"
"Green","Wisconsin","15,609","37.22%","90.21%"
"Polk","Georgia","15,588","37.25%","90.22%"
"Mower","Minnesota","15,570","37.28%","90.23%"
"Suwannee","Florida","15,567","37.31%","90.25%"
"Wayne","West Virginia","15,550","37.34%","90.26%"
"Marshall","Iowa","15,546","37.37%","90.27%"
"Tift","Georgia","15,541","37.4%","90.28%"
"Montgomery","Indiana","15,524","37.43%","90.29%"
"Champaign","Ohio","15,512","37.47%","90.31%"
"Marion","Illinois","15,465","37.5%","90.32%"
"Williams","Ohio","15,455","37.53%","90.33%"
"Isle of Wight","Virginia","15,426","37.56%","90.34%"
"Wharton","Texas","15,422","37.59%","90.35%"
"Dallas","Alabama","15,416","37.62%","90.37%"
"Pasquotank","North Carolina","15,394","37.65%","90.38%"
"Mississippi","Arkansas","15,381","37.68%","90.39%"
"Defiance","Ohio","15,376","37.71%","90.4%"
"Upshur","Texas","15,372","37.74%","90.41%"
"Madison","Ohio","15,361","37.77%","90.43%"
"Warren","Virginia","15,357","37.81%","90.44%"
"Silver Bow","Montana","15,347","37.84%","90.45%"
"Coffee","Georgia","15,318","37.87%","90.46%"
"Williams","North Dakota","15,308","37.9%","90.47%"
"Washington","Texas","15,277","37.93%","90.49%"
"Mayes","Oklahoma","15,267","37.96%","90.5%"
"Murray","Georgia","15,258","37.99%","90.51%"
"Clinton","Pennsylvania","15,258","38.02%","90.52%"
"Canóvanas Municipio","Puerto Rico","15,235","38.05%","90.53%"
"Boone","Arkansas","15,232","38.08%","90.54%"
"Huntington","Indiana","15,227","38.11%","90.56%"
"Pike","Mississippi","15,226","38.15%","90.57%"
"Newberry","South Carolina","15,220","38.18%","90.58%"
"Louisa","Virginia","15,211","38.21%","90.59%"
"Okeechobee","Florida","15,187","38.24%","90.6%"
"Sequoyah","Oklahoma","15,184","38.27%","90.62%"
"Gurabo Municipio","Puerto Rico","15,177","38.3%","90.63%"
"Scott","Missouri","15,163","38.33%","90.64%"
"Harrison","Indiana","15,154","38.36%","90.65%"
"Union","Arkansas","15,125","38.39%","90.66%"
"Cocke","Tennessee","15,123","38.42%","90.67%"
"Gloucester","Virginia","15,111","38.45%","90.69%"
"Knox","Indiana","15,110","38.49%","90.7%"
"Scotts Bluff","Nebraska","15,093","38.52%","90.71%"
"Calloway","Kentucky","15,086","38.55%","90.72%"
"Steele","Minnesota","15,001","38.58%","90.73%"
"Clarion","Pennsylvania","14,982","38.61%","90.74%"
"Rio Arriba","New Mexico","14,980","38.64%","90.76%"
"Brown","Texas","14,979","38.67%","90.77%"
"Pontotoc","Oklahoma","14,974","38.7%","90.78%"
"McLeod","Minnesota","14,971","38.73%","90.79%"
"Guayama Municipio","Puerto Rico","14,965","38.76%","90.8%"
"Clark","Kentucky","14,934","38.79%","90.81%"
"Cass","Indiana","14,924","38.83%","90.83%"
"St. John the Baptist Parish","Louisiana","14,922","38.86%","90.84%"
"Yadkin","North Carolina","14,893","38.89%","90.85%"
"Dyer","Tennessee","14,884","38.92%","90.86%"
"Dodge","Nebraska","14,863","38.95%","90.87%"
"Coshocton","Ohio","14,860","38.98%","90.88%"
"Petersburg city","Virginia","14,854","39.01%","90.9%"
"Matagorda","Texas","14,824","39.04%","90.91%"
"Manatí Municipio","Puerto Rico","14,813","39.07%","90.92%"
"Fremont","Wyoming","14,810","39.1%","90.93%"
"Jefferson","Illinois","14,805","39.13%","90.94%"
"Webster Parish","Louisiana","14,761","39.17%","90.95%"
"Jasper","Iowa","14,748","39.2%","90.96%"
"Oconee","Georgia","14,721","39.23%","90.98%"
"Greenbrier","West Virginia","14,710","39.26%","90.99%"
"Woodford","Illinois","14,704","39.29%","91%"
"Lawrence","Missouri","14,694","39.32%","91.01%"
"Orange","Virginia","14,667","39.35%","91.02%"
"Isabela Municipio","Puerto Rico","14,640","39.38%","91.03%"
"Addison","Vermont","14,638","39.41%","91.04%"
"Bennington","Vermont","14,636","39.44%","91.06%"
"Livingston","Illinois","14,614","39.47%","91.07%"
"Emmet","Michigan","14,604","39.51%","91.08%"
"Greenup","Kentucky","14,600","39.54%","91.09%"
"Transylvania","North Carolina","14,590","39.57%","91.1%"
"Lincoln","Tennessee","14,589","39.6%","91.11%"
"Lincoln","Nebraska","14,585","39.63%","91.12%"
"Cidra Municipio","Puerto Rico","14,556","39.66%","91.13%"
"Snyder","Pennsylvania","14,549","39.69%","91.15%"
"Avoyelles Parish","Louisiana","14,540","39.72%","91.16%"
"Independence","Arkansas","14,515","39.75%","91.17%"
"Gratiot","Michigan","14,511","39.78%","91.18%"
"Covington","Alabama","14,495","39.81%","91.19%"
"Summit","Utah","14,477","39.85%","91.2%"
"Clinton","Illinois","14,463","39.88%","91.21%"
"Floyd","Kentucky","14,460","39.91%","91.22%"
"Taos","New Mexico","14,459","39.94%","91.24%"
"Laclede","Missouri","14,453","39.97%","91.25%"
"Becker","Minnesota","14,404","40%","91.26%"
"Pulaski","Virginia","14,386","40.03%","91.27%"
"Door","Wisconsin","14,377","40.06%","91.28%"
"Lee","Iowa","14,305","40.09%","91.29%"
"Accomack","Virginia","14,302","40.12%","91.3%"
"Union","Pennsylvania","14,301","40.15%","91.31%"
"Alcorn","Mississippi","14,281","40.19%","91.33%"
"Houghton","Michigan","14,251","40.22%","91.34%"
"San Sebastián Municipio","Puerto Rico","14,238","40.25%","91.35%"
"Okmulgee","Oklahoma","14,177","40.28%","91.36%"
"Graves","Kentucky","14,152","40.31%","91.37%"
"Madison","Nebraska","14,152","40.34%","91.38%"
"Greene","Pennsylvania","14,126","40.37%","91.39%"
"Natchitoches Parish","Louisiana","14,108","40.4%","91.4%"
"Wapello","Iowa","14,088","40.43%","91.41%"
"Wise","Virginia","14,055","40.46%","91.42%"
"Manassas city","Virginia","14,041","40.49%","91.43%"
"Effingham","Illinois","14,030","40.53%","91.45%"
"Bureau","Illinois","14,011","40.56%","91.46%"
"Washington","Maine","13,989","40.59%","91.47%"
"Putnam","Indiana","13,980","40.62%","91.48%"
"Carlton","Minnesota","13,972","40.65%","91.49%"
"Hendry","Florida","13,944","40.68%","91.5%"
"San Lorenzo Municipio","Puerto Rico","13,940","40.71%","91.51%"
"Whitley","Indiana","13,929","40.74%","91.52%"
"Fulton","Illinois","13,902","40.77%","91.53%"
"Alexander","North Carolina","13,895","40.8%","91.54%"
"Hopkins","Texas","13,878","40.83%","91.55%"
"Chippewa","Michigan","13,867","40.87%","91.56%"
"Morrison","Minnesota","13,860","40.9%","91.58%"
"Huron","Michigan","13,836","40.93%","91.59%"
"Monroe","Illinois","13,830","40.96%","91.6%"
"Coos","New Hampshire","13,818","40.99%","91.61%"
"Geary","Kansas","13,787","41.02%","91.62%"
"Steuben","Indiana","13,765","41.05%","91.63%"
"Webster","Missouri","13,751","41.08%","91.64%"
"Beauregard Parish","Louisiana","13,691","41.11%","91.65%"
"Seneca","New York","13,679","41.14%","91.66%"
"Monroe","Mississippi","13,673","41.17%","91.67%"
"Halifax","Virginia","13,673","41.21%","91.68%"
"Jasper","Texas","13,667","41.24%","91.69%"
"Whitley","Kentucky","13,570","41.27%","91.7%"
"Christian","Illinois","13,534","41.3%","91.71%"
"Miami","Kansas","13,532","41.33%","91.72%"
"Morton","North Dakota","13,529","41.36%","91.74%"
"Sheridan","Wyoming","13,515","41.39%","91.75%"
"Brookings","South Dakota","13,490","41.42%","91.76%"
"Elk","Pennsylvania","13,481","41.45%","91.77%"
"Harvey","Kansas","13,478","41.48%","91.78%"
"Hill","Texas","13,457","41.51%","91.79%"
"Claiborne","Tennessee","13,456","41.55%","91.8%"
"Morrow","Ohio","13,449","41.58%","91.81%"
"Wexford","Michigan","13,428","41.61%","91.82%"
"Juncos Municipio","Puerto Rico","13,422","41.64%","91.83%"
"Chambers","Alabama","13,419","41.67%","91.84%"
"Warren","Missouri","13,414","41.7%","91.85%"
"Marion","Iowa","13,409","41.73%","91.86%"
"Platte","Nebraska","13,398","41.76%","91.87%"
"Mecklenburg","Virginia","13,395","41.79%","91.88%"
"Lee","Illinois","13,382","41.82%","91.89%"
"Vega Alta Municipio","Puerto Rico","13,365","41.85%","91.9%"
"Barry","Missouri","13,360","41.89%","91.91%"
"Perry","Ohio","13,349","41.92%","91.92%"
"Cowley","Kansas","13,339","41.95%","91.93%"
"Holmes","Ohio","13,326","41.98%","91.94%"
"Dorchester","Maryland","13,324","42.01%","91.95%"
"Lyon","Kansas","13,322","42.04%","91.96%"
"Jim Wells","Texas","13,298","42.07%","91.97%"
"Hatillo Municipio","Puerto Rico","13,283","42.1%","91.99%"
"Weakley","Tennessee","13,274","42.13%","92%"
"Miami","Indiana","13,270","42.16%","92.01%"
"Marshall","Tennessee","13,268","42.19%","92.02%"
"Moca Municipio","Puerto Rico","13,250","42.23%","92.03%"
"Rhea","Tennessee","13,243","42.26%","92.04%"
"Stark","North Dakota","13,217","42.29%","92.05%"
"Henry","Tennessee","13,205","42.32%","92.06%"
"Finney","Kansas","13,198","42.35%","92.07%"
"Park","Wyoming","13,179","42.38%","92.08%"
"Putnam","Ohio","13,173","42.41%","92.09%"
"Stone","Missouri","13,161","42.44%","92.1%"
"Gibson","Indiana","13,156","42.47%","92.11%"
"Marshall","Kentucky","13,150","42.5%","92.12%"
"Lawrence","Alabama","13,145","42.53%","92.13%"
"Juneau City and Borough","Alaska","13,138","42.57%","92.14%"
"Morgan","Illinois","13,125","42.6%","92.15%"
"Botetourt","Virginia","13,105","42.63%","92.16%"
"Pickens","Georgia","13,054","42.66%","92.17%"
"Cherokee","North Carolina","13,042","42.69%","92.18%"
"Lincoln","Mississippi","13,026","42.72%","92.19%"
"Coamo Municipio","Puerto Rico","13,006","42.75%","92.2%"
"Nicollet","Minnesota","12,984","42.78%","92.21%"
"Lincoln","Oklahoma","12,972","42.81%","92.22%"
"Chester","South Carolina","12,926","42.84%","92.23%"
"Adams","Nebraska","12,900","42.87%","92.24%"
"Hancock","West Virginia","12,891","42.91%","92.25%"
"Freeborn","Minnesota","12,885","42.94%","92.26%"
"Caledonia","Vermont","12,877","42.97%","92.27%"
"Montgomery","Kansas","12,871","43%","92.28%"
"Ware","Georgia","12,866","43.03%","92.29%"
"Fajardo Municipio","Puerto Rico","12,863","43.06%","92.3%"
"LaGrange","Indiana","12,804","43.09%","92.31%"
"Marshall","Mississippi","12,798","43.12%","92.32%"
"Preston","West Virginia","12,797","43.15%","92.33%"
"Fannin","Texas","12,793","43.18%","92.34%"
"Orange","Vermont","12,790","43.21%","92.35%"
"Escambia","Alabama","12,781","43.25%","92.36%"
"Greene","Indiana","12,781","43.28%","92.37%"
"Madison","Idaho","12,778","43.31%","92.38%"
"Cass","Minnesota","12,768","43.34%","92.39%"
"Alpena","Michigan","12,734","43.37%","92.4%"
"Prince George","Virginia","12,718","43.4%","92.41%"
"Amherst","Virginia","12,702","43.43%","92.42%"
"Jefferson","Indiana","12,699","43.46%","92.43%"
"Clark","Wisconsin","12,692","43.49%","92.44%"
"Jackson","Ohio","12,672","43.52%","92.45%"
"DeSoto","Florida","12,656","43.55%","92.46%"
"Aguada Municipio","Puerto Rico","12,652","43.59%","92.47%"
"Delta","Colorado","12,648","43.62%","92.48%"
"Harris","Georgia","12,637","43.65%","92.49%"
"Gilmer","Georgia","12,612","43.68%","92.5%"
"Pike","Alabama","12,605","43.71%","92.51%"
"Jasper","Indiana","12,586","43.74%","92.52%"
"Lincoln","Wisconsin","12,578","43.77%","92.53%"
"Sioux","Iowa","12,576","43.8%","92.54%"
"Garrett","Maryland","12,565","43.83%","92.55%"
"Yauco Municipio","Puerto Rico","12,565","43.86%","92.56%"
"Wabash","Indiana","12,554","43.89%","92.57%"
"Smyth","Virginia","12,530","43.93%","92.58%"
"Las Piedras Municipio","Puerto Rico","12,519","43.96%","92.59%"
"Obion","Tennessee","12,516","43.99%","92.6%"
"Carroll","Virginia","12,493","44.02%","92.6%"
"Marshall","West Virginia","12,489","44.05%","92.61%"
"Graham","Arizona","12,460","44.08%","92.62%"
"Franklin","Maine","12,457","44.11%","92.63%"
"Polk","Minnesota","12,448","44.14%","92.64%"
"Trempealeau","Wisconsin","12,448","44.17%","92.65%"
"Schoharie","New York","12,439","44.2%","92.66%"
"Lafayette","Missouri","12,438","44.23%","92.67%"
"Mason","Michigan","12,426","44.27%","92.68%"
"Jasper","South Carolina","12,420","44.3%","92.69%"
"Clinton","Indiana","12,396","44.33%","92.7%"
"Wythe","Virginia","12,396","44.36%","92.71%"
"Logan","West Virginia","12,396","44.39%","92.72%"
"Panola","Mississippi","12,382","44.42%","92.73%"
"Scotland","North Carolina","12,376","44.45%","92.74%"
"Codington","South Dakota","12,361","44.48%","92.75%"
"Summit","Colorado","12,347","44.51%","92.76%"
"Adams","Indiana","12,345","44.54%","92.77%"
"Charlevoix","Michigan","12,247","44.57%","92.78%"
"Evangeline Parish","Louisiana","12,240","44.61%","92.79%"
"Wakulla","Florida","12,187","44.64%","92.8%"
"Ellis","Kansas","12,186","44.67%","92.81%"
"Vernon","Wisconsin","12,186","44.7%","92.82%"
"Caroline","Maryland","12,181","44.73%","92.83%"
"Lake","Montana","12,175","44.76%","92.84%"
"Austin","Texas","12,174","44.79%","92.84%"
"Williamsburg","South Carolina","12,160","44.82%","92.85%"
"McPherson","Kansas","12,151","44.85%","92.86%"
"Clare","Michigan","12,150","44.88%","92.87%"
"Hot Spring","Arkansas","12,101","44.91%","92.88%"
"Dorado Municipio","Puerto Rico","12,074","44.95%","92.89%"
"Ashe","North Carolina","11,999","44.98%","92.9%"
"Wasatch","Utah","11,985","45.01%","92.91%"
"Lee","Georgia","11,960","45.04%","92.92%"
"Polk","Missouri","11,957","45.07%","92.93%"
"Clarendon","South Carolina","11,949","45.1%","92.94%"
"Uintah","Utah","11,940","45.13%","92.95%"
"Muhlenberg","Kentucky","11,937","45.16%","92.96%"
"Howard","Texas","11,927","45.19%","92.97%"
"San Miguel","New Mexico","11,924","45.22%","92.98%"
"Pine","Minnesota","11,913","45.26%","92.98%"
"Bolivar","Mississippi","11,907","45.29%","92.99%"
"Dickinson","Michigan","11,837","45.32%","93%"
"Tillamook","Oregon","11,817","45.35%","93.01%"
"Camuy Municipio","Puerto Rico","11,814","45.38%","93.02%"
"Lawrence","South Dakota","11,812","45.41%","93.03%"
"Boyle","Kentucky","11,806","45.44%","93.04%"
"Meade","South Dakota","11,801","45.47%","93.05%"
"Kleberg","Texas","11,794","45.5%","93.06%"
"Orleans","Vermont","11,791","45.53%","93.07%"
"Marion","South Carolina","11,788","45.56%","93.08%"
"Cass","Texas","11,775","45.6%","93.09%"
"Ford","Kansas","11,768","45.63%","93.09%"
"McDonough","Illinois","11,760","45.66%","93.1%"
"Yabucoa Municipio","Puerto Rico","11,760","45.69%","93.11%"
"Ottawa","Oklahoma","11,755","45.72%","93.12%"
"Union","South Carolina","11,738","45.75%","93.13%"
"Aransas","Texas","11,738","45.78%","93.14%"
"Hardin","Ohio","11,711","45.81%","93.15%"
"Giles","Tennessee","11,710","45.84%","93.16%"
"Jefferson Davis Parish","Louisiana","11,704","45.87%","93.17%"
"Pontotoc","Mississippi","11,682","45.9%","93.18%"
"Caroline","Virginia","11,680","45.94%","93.19%"
"Randolph","Illinois","11,671","45.97%","93.19%"
"Van Wert","Ohio","11,651","46%","93.2%"
"Bladen","North Carolina","11,635","46.03%","93.21%"
"Fayette","Ohio","11,635","46.06%","93.22%"
"Franklin","Alabama","11,593","46.09%","93.23%"
"Adams","Mississippi","11,573","46.12%","93.24%"
"Daviess","Indiana","11,568","46.15%","93.25%"
"Hocking","Ohio","11,565","46.18%","93.26%"
"San Germán Municipio","Puerto Rico","11,549","46.21%","93.27%"
"Marion","Tennessee","11,529","46.24%","93.28%"
"Haralson","Georgia","11,510","46.28%","93.28%"
"Le Sueur","Minnesota","11,499","46.31%","93.29%"
"Currituck","North Carolina","11,497","46.34%","93.3%"
"Carroll","Ohio","11,476","46.37%","93.31%"
"Roscommon","Michigan","11,475","46.4%","93.32%"
"Iosco","Michigan","11,449","46.43%","93.33%"
"Fredericksburg city","Virginia","11,443","46.46%","93.34%"
"Lamoille","Vermont","11,424","46.49%","93.35%"
"Stoddard","Missouri","11,393","46.52%","93.36%"
"Lumpkin","Georgia","11,374","46.55%","93.36%"
"Fannin","Georgia","11,361","46.58%","93.37%"
"Wells","Indiana","11,360","46.62%","93.38%"
"Ripley","Indiana","11,356","46.65%","93.39%"
"Staunton city","Virginia","11,356","46.68%","93.4%"
"Iroquois","Illinois","11,333","46.71%","93.41%"
"Knox","Kentucky","11,326","46.74%","93.42%"
"Jackson","West Virginia","11,317","46.77%","93.43%"
"Gallia","Ohio","11,305","46.8%","93.44%"
"McCurtain","Oklahoma","11,304","46.83%","93.44%"
"Perry","Kentucky","11,293","46.86%","93.45%"
"Curry","Oregon","11,280","46.89%","93.46%"
"Gillespie","Texas","11,272","46.92%","93.47%"
"Montgomery","Illinois","11,265","46.96%","93.48%"
"Carroll","Tennessee","11,258","46.99%","93.49%"
"Winchester city","Virginia","11,255","47.02%","93.5%"
"Teller","Colorado","11,253","47.05%","93.51%"
"Marion","Missouri","11,253","47.08%","93.51%"
"Henry","Ohio","11,226","47.11%","93.52%"
"Dunklin","Missouri","11,165","47.14%","93.53%"
"Powhatan","Virginia","11,151","47.17%","93.54%"
"Logan","Illinois","11,122","47.2%","93.55%"
"Carroll","Arkansas","11,106","47.23%","93.56%"
"Grant","New Mexico","11,069","47.26%","93.57%"
"Gladwin","Michigan","11,060","47.3%","93.57%"
"Wayne","Georgia","11,045","47.33%","93.58%"
"Antrim","Michigan","11,034","47.36%","93.59%"
"Hale","Texas","11,034","47.39%","93.6%"
"Morgan","Colorado","11,033","47.42%","93.61%"
"Iberville Parish","Louisiana","11,032","47.45%","93.62%"
"Union","Georgia","11,012","47.48%","93.63%"
"Titus","Texas","11,011","47.51%","93.63%"
"White","Tennessee","11,001","47.54%","93.64%"
"Otsego","Michigan","10,996","47.57%","93.65%"
"Washington","Indiana","10,994","47.6%","93.66%"
"Lewis","New York","10,958","47.64%","93.67%"
"Palo Pinto","Texas","10,951","47.67%","93.68%"
"Montgomery","Kentucky","10,950","47.7%","93.69%"
"Brown","Minnesota","10,946","47.73%","93.69%"
"Boone","Iowa","10,935","47.76%","93.7%"
"Henderson","Tennessee","10,928","47.79%","93.71%"
"Logan","Kentucky","10,922","47.82%","93.72%"
"Montezuma","Colorado","10,915","47.85%","93.73%"
"Corozal Municipio","Puerto Rico","10,902","47.88%","93.74%"
"Madison","Georgia","10,895","47.91%","93.75%"
"Wyoming","Pennsylvania","10,892","47.94%","93.75%"
"Marion","Alabama","10,874","47.98%","93.76%"
"Vilas","Wisconsin","10,873","48.01%","93.77%"
"Union","Oregon","10,856","48.04%","93.78%"
"Sumter","Georgia","10,848","48.07%","93.79%"
"Elmore","Idaho","10,848","48.1%","93.8%"
"Dawson","Georgia","10,844","48.13%","93.8%"
"Hardin","Tennessee","10,833","48.16%","93.81%"
"Pike","Ohio","10,816","48.19%","93.82%"
"Meade","Kentucky","10,798","48.22%","93.83%"
"Juneau","Wisconsin","10,793","48.25%","93.84%"
"Custer","Oklahoma","10,784","48.28%","93.85%"
"Jones","Georgia","10,771","48.32%","93.85%"
"Jennings","Indiana","10,760","48.35%","93.86%"
"Cheboygan","Michigan","10,757","48.38%","93.87%"
"Pacific","Washington","10,757","48.41%","93.88%"
"Woodford","Kentucky","10,743","48.44%","93.89%"
"Mille Lacs","Minnesota","10,739","48.47%","93.9%"
"Tate","Mississippi","10,720","48.5%","93.9%"
